method,env,T,seed,checkpoint,score,n_source_rows,n_valid_rows,n_sampled_rows,d_critic_current,d_final_current,d_target_deterministic,d_target_smoothed,current_state_proxy,polyak_lag,target_noise_draws,n_nan,n_inf
mpi3,halfcheetah-medium-replay-v2,14.0,0,/home/ext_csv/mpi_sweep_lab/results_mpi3/halfcheetah-medium-replay-v2_tau14_mpi3_seed0/params_1000000.pkl,55.495672628593425,202000,201798,4096,0.11215820850403171,0.20063298169190805,0.10998148924845452,0.1367912210840897,0.11215820838344459,0.003122512956863354,64,0,0
td3,halfcheetah-medium-replay-v2,14.0,1,/home/ext_csv/mpi_sweep_lab/results_qnorm/halfcheetah-medium-replay-v2_tau14_seed1/params_1000000.pkl,51.6043147906103,202000,201798,4096,0.16332809173578353,0.16496478611829807,0.16887890250831195,0.19162208479931447,0.16332809198873363,0.0032982922883960175,64,0,0
mpi2,halfcheetah-medium-replay-v2,14.0,1,/home/ext_csv/mpi_sweep_lab/results_mpi2/halfcheetah-medium-replay-v2_tau14_mpi2_seed1/params_1000000.pkl,51.637280733101235,202000,201798,4096,0.12568502891121072,0.1946174306286174,0.1247800978691771,0.15068983564132657,0.12568502871167375,0.0024535361605101747,64,0,0
mpi3,halfcheetah-medium-replay-v2,14.0,1,/home/ext_csv/mpi_sweep_lab/results_mpi3/halfcheetah-medium-replay-v2_tau14_mpi3_seed1/params_1000000.pkl,52.02862865997939,202000,201798,4096,0.11374665917826215,0.19884999064989567,0.11384058399752917,0.1402290693963465,0.11374665905164834,0.0028865324984038336,64,0,0
td3,halfcheetah-medium-replay-v2,20.0,0,/home/ext_csv/mpi_sweep_lab/results_qnorm/halfcheetah-medium-replay-v2_tau20_seed0/params_1000000.pkl,55.031135473377766,202000,201798,4096,0.19269580866069821,0.19293726423552296,0.1910361162935459,0.21271217843409465,0.19269580846637985,0.003999984714541273,64,0,0
mpi2,halfcheetah-medium-replay-v2,20.0,0,/home/ext_csv/mpi_sweep_lab/results_mpi2/halfcheetah-medium-replay-v2_tau20_mpi2_seed0/params_1000000.pkl,54.22534531854978,202000,201798,4096,0.1405470539680992,0.22163421177682008,0.14067188060360536,0.16555161298167148,0.14054705385684813,0.0031377541870772105,64,0,0
mpi3,halfcheetah-medium-replay-v2,20.0,0,/home/ext_csv/mpi_sweep_lab/results_mpi3/halfcheetah-medium-replay-v2_tau20_mpi3_seed0/params_1000000.pkl,56.09084903124717,202000,201798,4096,0.1240325417230737,0.2360042168821041,0.12411761893054774,0.1505224118716597,0.12403254172832323,0.00327884784442064,64,0,0
td3,halfcheetah-medium-replay-v2,20.0,1,/home/ext_csv/mpi_sweep_lab/results_qnorm/halfcheetah-medium-replay-v2_tau20_seed1/params_1000000.pkl,54.26562354357185,202000,201798,4096,0.19700961834287378,0.1981146833647699,0.20037861674452273,0.2211289353387784,0.19700961786356994,0.0034915564824426035,64,0,0
mpi2,halfcheetah-medium-replay-v2,20.0,1,/home/ext_csv/mpi_sweep_lab/results_mpi2/halfcheetah-medium-replay-v2_tau20_mpi2_seed1/params_1000000.pkl,54.06338495435655,202000,201798,4096,0.14607037579582866,0.22861220110605732,0.14390035850081517,0.16906972812769794,0.14607037555412938,0.003251416444019037,64,0,0
mpi3,halfcheetah-medium-replay-v2,20.0,1,/home/ext_csv/mpi_sweep_lab/results_mpi3/halfcheetah-medium-replay-v2_tau20_mpi3_seed1/params_1000000.pkl,55.67135233763397,202000,201798,4096,0.12406326365509628,0.23437676089554726,0.12473489128257143,0.15089344125521076,0.12406326373552237,0.0028155460138314927,64,0,0
