method,source_method,env,T,seed,checkpoint,score,collapsed_10,collapsed_20,collapsed_30,collapsed_40,td_error_mean,td_error_p50,td_error_p90,td_error_p99,td_error_max,q_abs_mean,q_abs_p99,critic_loss,d_critic,d_final,joint_critic_gain,common_critic_gain,n_nan,n_inf
prox2,mpi2,hopper-medium-replay-v2,14.0,1,/home/ext_csv/td3_bc_jax/results_mpi2/hopper-medium-replay-v2_tau14_mpi2_seed1/params_1000000.pkl,67.54142728784716,0,0,0,0,8.83316287584239,2.6902743577957153,15.302843284606938,111.14647636413571,,212.26263427734375,293.8703308105469,8.591913223266602,0.16457366686880132,0.26487247010432,2.4660720378160477,3.4229243360459805,0,0
prox2,mpi2,hopper-medium-replay-v2,20.0,0,/home/ext_csv/td3_bc_jax/results_mpi2/hopper-medium-replay-v2_tau20_mpi2_seed0/params_1000000.pkl,96.44617335362732,0,0,0,0,10.547334531129309,2.4521785974502563,14.046074008941654,93.65709564208956,,220.78286743164062,297.91925048828125,10.71156120300293,0.17580228256363245,0.29061759083062016,2.441288711503148,3.288393114460632,0,0
prox2,mpi2,hopper-medium-replay-v2,20.0,1,/home/ext_csv/td3_bc_jax/results_mpi2/hopper-medium-replay-v2_tau20_mpi2_seed1/params_1000000.pkl,33.02416722402576,0,0,0,1,9.738437848997819,2.2457116842269897,18.044860076904314,144.51947402954053,,220.75869750976562,301.29095458984375,9.094518661499023,0.18135599370884514,0.30132003761479204,2.5547900404781103,3.690899678505957,0,0
prox2,mpi2,hopper-medium-v2,4.0,0,/home/ext_csv/td3_bc_jax/results_mpi2/hopper-medium-v2_tau4_mpi2_seed0/params_1000000.pkl,60.54528814168838,0,0,0,0,2.6053126940132643,0.9211217164993286,5.405567407608033,29.98454998016351,,240.62542724609375,302.2751159667969,4.055912971496582,0.055493513980964845,0.060519320110049,0.4060112984152511,0.39365050196647644,0,0
prox2,mpi2,hopper-medium-v2,4.0,1,/home/ext_csv/td3_bc_jax/results_mpi2/hopper-medium-v2_tau4_mpi2_seed1/params_1000000.pkl,58.504775047083236,0,0,0,0,3.0020272672992405,0.8693887293338776,5.499142169952393,32.624287643432595,,241.01438903808594,302.4327392578125,3.4234976768493652,0.05487861868663567,0.05943833585650853,0.3657382056117058,0.3684719204902649,0,0
prox2,mpi2,hopper-medium-v2,7.0,0,/home/ext_csv/td3_bc_jax/results_mpi2/hopper-medium-v2_tau7_mpi2_seed0/params_1000000.pkl,97.21316369147769,0,0,0,0,1.51974978270664,0.4873499423265457,3.20222673416138,16.05845146179199,,249.19973754882812,311.246826171875,1.9199576377868652,0.05688478623354415,0.06536429410387322,0.43868644535541534,0.554726779460907,0,0
prox2,mpi2,hopper-medium-v2,7.0,1,/home/ext_csv/td3_bc_jax/results_mpi2/hopper-medium-v2_tau7_mpi2_seed1/params_1000000.pkl,69.27638683202647,0,0,0,0,2.2000838355461383,0.5586511790752411,5.082824659347537,25.931095752716065,,246.482177734375,307.2416076660156,3.346071243286133,0.05628317375206325,0.06714202647913792,0.5058266147971153,0.4971403107047081,0,0
prox2,mpi2,hopper-medium-v2,10.0,0,/home/ext_csv/td3_bc_jax/results_mpi2/hopper-medium-v2_tau10_mpi2_seed0/params_1000000.pkl,100.75236086239072,0,0,0,0,3.2079124840438453,0.928787350654602,6.996842098236085,30.97050306320185,,245.6650390625,306.2320556640625,3.526057243347168,0.06152372954790337,0.08383102630421828,0.7964214086532593,0.762076623737812,0,0
prox2,mpi2,hopper-medium-v2,10.0,1,/home/ext_csv/td3_bc_jax/results_mpi2/hopper-medium-v2_tau10_mpi2_seed1/params_1000000.pkl,0.8777013869923834,1,1,1,1,755901.3113396764,282660.96875,1891425.5125000004,6618589.519999997,,43094.7109375,129439.1328125,1021456.5,0.15693055147530469,0.3545843744494087,1408.4624945819378,-0.7582993358373642,0,0
prox2,mpi2,hopper-medium-v2,14.0,0,/home/ext_csv/td3_bc_jax/results_mpi2/hopper-medium-v2_tau14_mpi2_seed0/params_1000000.pkl,0.5808310974709244,1,1,1,1,9.95106446587145e+20,5.891784602542806e+20,2.469880742813652e+21,5.030492748865163e+21,,98803826688.0,229031280640.0,8.821055630517585e+20,0.8050394653169384,0.9600826367305635,22684048900.0,-0.77963025867939,0,0
