environment,seed,tau,method_a,method_b,final_action_rms,relative_final_action_rms,aD_to_final_a_rms,aD_to_final_b_rms,n_states
hopper-medium-v2,1,14.0,mpi1,mpi4,1.23334196691136,0.9837242940858518,1.2537475940425677,0.32153732158108167,512
hopper-medium-v2,1,17.0,mpi1,mpi4,1.242336309315804,0.9908982599201093,1.2537475940425677,0.33820418368580607,512
hopper-medium-v2,1,20.0,mpi1,mpi4,1.2379694348997974,0.9874152028544314,1.2537475940425677,0.37500488478100885,512
hopper-medium-replay-v2,0,0.05,mpi1,mpi2,0.281249734479823,0.555290965208483,0.42951458806595716,0.5064907446751421,512
hopper-medium-replay-v2,0,0.05,mpi1,mpi4,0.28198608076449727,0.6565227086563935,0.42951458806595716,0.38466767473500835,512
hopper-medium-replay-v2,0,0.05,mpi2,mpi4,0.3615061465128314,0.7137467965869696,0.5064907446751421,0.38466767473500835,512
hopper-medium-replay-v2,0,0.1,mpi1,mpi2,0.40707907887114564,0.6953742523315815,0.5339124733597379,0.5854100543789397,512
hopper-medium-replay-v2,0,0.1,mpi1,mpi4,0.39962880668483447,0.7484912352208221,0.5339124733597379,0.3851138015856748,512
hopper-medium-replay-v2,0,0.1,mpi2,mpi4,0.459951010768891,0.7856903162636182,0.5854100543789397,0.3851138015856748,512
hopper-medium-replay-v2,0,0.2,mpi1,mpi4,0.5415961166887819,0.8266691829734767,0.6551545985308114,0.3885266194869108,512
hopper-medium-replay-v2,0,0.4,mpi1,mpi4,0.7136705439699128,0.8927737072575539,0.799385710139454,0.3967482520125795,512
hopper-medium-replay-v2,0,1.5,mpi1,mpi4,0.8630203225297897,0.8849960926415095,0.9751685117093261,0.4380453211638743,512
hopper-medium-replay-v2,0,2.5,mpi1,mpi4,0.8729218906763542,0.9137234658862596,0.9553458166138589,0.46690713217945756,512
hopper-medium-replay-v2,0,4.0,mpi1,mpi4,0.8089538865831919,0.8638087539310602,0.9364965137268727,0.49878781805617367,512
hopper-medium-replay-v2,0,7.0,mpi1,mpi4,0.8337320490377851,0.8403830067600359,0.9920858017490234,0.5460771135805262,512
hopper-medium-replay-v2,0,10.0,mpi1,mpi4,0.8696494949416624,0.876692086127114,0.9919668589498019,0.5760765649512714,512
hopper-medium-replay-v2,0,14.0,mpi1,mpi4,0.8568280838093872,0.8632051210941986,0.992612373201948,0.5971411258831552,512
hopper-medium-replay-v2,0,17.0,mpi1,mpi4,0.8801606384960712,0.8682997289747598,1.013659925398475,0.6200882380334279,512
hopper-medium-replay-v2,0,20.0,mpi1,mpi4,0.8239154015320801,0.8458829120691826,0.9740300812043051,0.6366470052497376,512
hopper-medium-replay-v2,1,0.05,mpi1,mpi2,0.25617590938936263,0.5075708549752732,0.457176171396581,0.5047096516245845,512
hopper-medium-replay-v2,1,0.05,mpi1,mpi4,0.3107432594965984,0.6797013469607142,0.457176171396581,0.38197955676226053,512
hopper-medium-replay-v2,1,0.05,mpi2,mpi4,0.3491976057645391,0.6918782009429075,0.5047096516245845,0.38197955676226053,512
hopper-medium-replay-v2,1,0.1,mpi1,mpi2,0.333276247166767,0.5814247770937376,0.5322082130351312,0.5732061313806653,512
hopper-medium-replay-v2,1,0.1,mpi1,mpi4,0.4073742685211773,0.7654415293555163,0.5322082130351312,0.38601708241831384,512
hopper-medium-replay-v2,1,0.1,mpi2,mpi4,0.44132920467780196,0.7699310606025529,0.5732061313806653,0.38601708241831384,512
hopper-medium-replay-v2,1,0.2,mpi1,mpi4,0.5531118503777345,0.835709096759078,0.6618473491825446,0.3843949541791245,512
hopper-medium-replay-v2,1,0.4,mpi1,mpi4,0.7223023776767677,0.8802369722685421,0.8205771859539753,0.3926623085134316,512
hopper-medium-replay-v2,1,1.5,mpi1,mpi4,0.8531778201043035,0.9330150583378222,0.9144309220734876,0.43096541948953393,512
hopper-medium-replay-v2,1,2.5,mpi1,mpi4,0.7871679354934403,0.8779896713431601,0.896557170529376,0.46064974000227776,512
hopper-medium-replay-v2,1,4.0,mpi1,mpi4,0.893696406694957,0.9388764580365805,0.9518785981319565,0.49649118977600953,512
