environment,seed,method,integrator,s,t,total,Phi_u_vs_Phi_t_Phi_s_aD_rms,relative_frozen_semigroup_from_aD,pi_u_vs_Phi_u_aD_rms,pi_u_vs_Phi_t_Phi_s_aD_rms,solver_converged_sample_fraction,all_numeric_outputs_finite
halfcheetah-medium-replay-v2,1,mpi4,explicit,4.0,10.0,14.0,0.6525050455153958,0.9587285301424955,0.6864060001349471,0.6249208373356843,1.0,True
halfcheetah-medium-replay-v2,1,mpi4,implicit,4.0,10.0,14.0,0.008555185215514198,0.017596617703636287,0.43507253733283563,0.43898333294444736,0.005859375,True
halfcheetah-medium-replay-v2,1,mpi4,explicit,7.0,7.0,14.0,0.5952245849624288,0.8745660977915636,0.6864060001349471,0.5962058231359778,1.0,True
halfcheetah-medium-replay-v2,1,mpi4,implicit,7.0,7.0,14.0,0.014233039216396312,0.02373936825387903,0.5670428371805913,0.5672932134671418,0.01171875,True
halfcheetah-medium-replay-v2,1,mpi4,explicit,7.0,10.0,17.0,0.6560001808168611,0.9148884518053771,0.6904270024897935,0.6111083836595865,1.0,True
halfcheetah-medium-replay-v2,1,mpi4,implicit,7.0,10.0,17.0,0.010316015272688288,0.014880025753262626,0.6407787768182021,0.6409604290687316,0.0078125,True
halfcheetah-medium-replay-v2,1,mpi4,explicit,10.0,10.0,20.0,0.6919947785861337,0.9252335235033124,0.723488649067947,0.6562345179762632,1.0,True
halfcheetah-medium-replay-v2,1,mpi4,implicit,10.0,10.0,20.0,0.004368237226638997,0.008055203858052713,0.5037696008519204,0.5028830029433734,0.00390625,True
halfcheetah-medium-replay-v2,2,mpi4,explicit,0.05,0.05,0.1,0.025047148958416383,0.053546860082933884,0.46319285753288914,0.4633694095640142,1.0,True
halfcheetah-medium-replay-v2,2,mpi4,implicit,0.05,0.05,0.1,0.0015372502676110533,0.0027177569567176586,0.5637540036659522,0.563727913117519,0.341796875,True
halfcheetah-medium-replay-v2,2,mpi4,explicit,0.1,0.1,0.2,0.047238921280160565,0.10100641453578948,0.465098254437145,0.4644437980823564,1.0,True
halfcheetah-medium-replay-v2,2,mpi4,implicit,0.1,0.1,0.2,0.00022730131627716644,0.0003988472999535509,0.5680603034242551,0.5680322591375131,0.298828125,True
halfcheetah-medium-replay-v2,2,mpi4,explicit,0.2,0.2,0.4,0.09487497785545963,0.2007938805309637,0.48902017479552434,0.47718389784755655,1.0,True
halfcheetah-medium-replay-v2,2,mpi4,implicit,0.2,0.2,0.4,0.0005240537808472018,0.0009407819874650378,0.5512712873395726,0.5512196266914835,0.263671875,True
halfcheetah-medium-replay-v2,2,mpi4,explicit,1.5,2.5,4.0,0.3711430170400645,0.7029093119345144,0.575822502028091,0.5141486627246205,1.0,True
halfcheetah-medium-replay-v2,2,mpi4,implicit,1.5,2.5,4.0,0.0033260790528177216,0.005731673731909096,0.5561530930763061,0.556025561174129,0.083984375,True
halfcheetah-medium-replay-v2,2,mpi4,explicit,4.0,10.0,14.0,0.6269382409246966,0.9095434220048456,0.6874348872686866,0.6344335975802863,1.0,True
halfcheetah-medium-replay-v2,2,mpi4,implicit,4.0,10.0,14.0,0.011754116311213602,0.020244466851504342,0.5572223429404334,0.5582172402131492,0.01171875,True
halfcheetah-medium-replay-v2,2,mpi4,explicit,7.0,7.0,14.0,0.6015955053539209,0.8727769322147039,0.6874348872686866,0.6116271226381506,1.0,True
halfcheetah-medium-replay-v2,2,mpi4,implicit,7.0,7.0,14.0,0.009662320726086821,0.016900798114138665,0.5162972345689506,0.5182731634864374,0.03125,True
halfcheetah-medium-replay-v2,2,mpi4,explicit,7.0,10.0,17.0,0.7144631783266692,0.9887357675775408,0.7262031553679991,0.667238354615046,1.0,True
halfcheetah-medium-replay-v2,2,mpi4,implicit,7.0,10.0,17.0,0.005268767355393084,0.009548664915037577,0.5493678571631684,0.5501460110207068,0.015625,True
halfcheetah-medium-replay-v2,2,mpi4,explicit,10.0,10.0,20.0,0.6767872026960599,0.8997401527179135,0.7233627298336627,0.6448737194135647,1.0,True
halfcheetah-medium-replay-v2,2,mpi4,implicit,10.0,10.0,20.0,0.014299732966250296,0.025217570721189898,0.5615265687050438,0.5581503065203322,0.015625,True
halfcheetah-medium-replay-v2,3,mpi4,explicit,0.05,0.05,0.1,0.023592091228449456,0.05041928251152313,0.46319301374808913,0.462694674824702,1.0,True
halfcheetah-medium-replay-v2,3,mpi4,implicit,0.05,0.05,0.1,0.001946778204866347,0.0034938716007664873,0.5543517024258028,0.5543244705712072,0.33203125,True
halfcheetah-medium-replay-v2,3,mpi4,explicit,0.1,0.1,0.2,0.05466103665720296,0.1165294868924387,0.4674664050695243,0.4646879847771523,1.0,True
halfcheetah-medium-replay-v2,3,mpi4,implicit,0.1,0.1,0.2,0.004965582389275582,0.008780890456045047,0.561157834489907,0.5611354273144625,0.296875,True
halfcheetah-medium-replay-v2,3,mpi4,explicit,0.2,0.2,0.4,0.09581300092973682,0.20040920574865193,0.48139173742757907,0.4707581873061345,1.0,True
halfcheetah-medium-replay-v2,3,mpi4,implicit,0.2,0.2,0.4,0.0009983980107629317,0.0017264470957584163,0.5705449330069415,0.570463489601385,0.2578125,True
halfcheetah-medium-replay-v2,3,mpi4,explicit,1.5,2.5,4.0,0.37524088604238953,0.7234328656695737,0.5807105357377147,0.5236065164631188,1.0,True
halfcheetah-medium-replay-v2,3,mpi4,implicit,1.5,2.5,4.0,0.0028167362461765768,0.005107165434795465,0.5241493048557924,0.5243893421336262,0.068359375,True
halfcheetah-medium-replay-v2,3,mpi4,explicit,4.0,10.0,14.0,0.6426696847727422,0.9387097620849033,0.6899889600279167,0.6402185275708495,1.0,True
halfcheetah-medium-replay-v2,3,mpi4,implicit,4.0,10.0,14.0,0.009184200502054162,0.015344401743535512,0.5967683002616807,0.5953781106651799,0.0234375,True
halfcheetah-medium-replay-v2,3,mpi4,explicit,7.0,7.0,14.0,0.5979622396305342,0.8734082297624223,0.6899889600279167,0.6102565442252157,1.0,True
halfcheetah-medium-replay-v2,3,mpi4,implicit,7.0,7.0,14.0,0.008625233077649447,0.01499089859911837,0.5742750556231961,0.5735233752145669,0.052734375,True
halfcheetah-medium-replay-v2,3,mpi4,explicit,7.0,10.0,17.0,0.664104004366323,0.925937246606149,0.6982677686676487,0.6196219674236627,1.0,True
halfcheetah-medium-replay-v2,3,mpi4,implicit,7.0,10.0,17.0,0.014006171818879205,0.025873891102373536,0.5093806800270851,0.5125178746176398,0.009765625,True
halfcheetah-medium-replay-v2,3,mpi4,explicit,10.0,10.0,20.0,0.6734978636427836,0.8934840995888439,0.7211910955233811,0.6323556498765291,1.0,True
halfcheetah-medium-replay-v2,3,mpi4,implicit,10.0,10.0,20.0,0.0056291846254938206,0.010827690889954153,0.531444649188705,0.5312878638707987,0.017578125,True
halfcheetah-expert-v2,0,mpi1,explicit,0.05,0.05,0.1,6.19019483700773e-05,4.85759913615953e-05,1.2738937926725715,1.2738928714586768,1.0,True
halfcheetah-expert-v2,0,mpi1,implicit,0.05,0.05,0.1,6.193829493748625e-05,4.875319001179432e-05,1.2699975645357728,1.2699984554060695,0.9609375,True
halfcheetah-expert-v2,0,mpi4,explicit,0.05,0.05,0.1,0.00024750588761309904,0.0012654420977195483,0.19476398301168552,0.19477057932919292,1.0,True
halfcheetah-expert-v2,0,mpi4,implicit,0.05,0.05,0.1,8.187124577684385e-05,0.00042266790547636993,0.19296144129928428,0.19296209529195874,0.873046875,True
halfcheetah-expert-v2,0,mpi4,explicit,0.1,0.1,0.2,0.0011706436219021143,0.005945111920464932,0.19530444304856842,0.1953322600962693,1.0,True
