environment,seed,method,integrator,s,t,total,pi_u_vs_continue_pi_s_rms,pi_u_vs_continue_pi_t_rms,relative_pi_u_vs_continue_mean,order_defect_rms,relative_order_defect,actor_gap_pi_s_to_pi_u_rms,actor_gap_aD_to_pi_u_rms,pi_s_vs_Phi_s_aD_rms,pi_u_vs_Phi_u_aD_rms,relative_pi_u_vs_Phi_u_aD,pi_u_vs_Phi_t_Phi_s_aD_rms,relative_pi_u_vs_Phi_t_Phi_s_aD,Phi_u_vs_Phi_t_Phi_s_aD_rms,relative_frozen_semigroup_from_aD,solver_converged_sample_fraction,all_solver_calls_converged,max_solver_iterations,max_fixed_point_residual,max_projection_fraction,all_numeric_outputs_finite,n_states
halfcheetah-medium-v2,1,mpi4,explicit,7.0,7.0,14.0,0.30320908980607586,0.30320908980607586,0.7951369410522267,0.0,0.0,0.21398824374352796,0.38132939642425734,0.34560299286261925,0.4397936767603656,0.9163784377199032,0.37029359137204415,0.7715642145171163,0.2795395698641118,0.5824641140817197,1.0,True,1,0.0,0.734375,True,512
halfcheetah-medium-v2,1,mpi4,implicit,7.0,7.0,14.0,0.3003018335727384,0.3003018335727384,0.6400801487148468,0.0,0.0,0.22739190667896744,0.4691628605818889,nan,nan,nan,nan,nan,nan,nan,0.0,False,200,1.3300551176071167,0.73046875,False,512
halfcheetah-medium-v2,1,mpi4,explicit,7.0,10.0,17.0,0.371701158390424,0.3133067122908175,0.8831496978121616,0.3833407661632559,0.9884478596121126,0.220372529938077,0.3878209279685089,0.34560299286261925,0.46981322251885105,0.9013813289534317,0.38822216249450436,0.7448411240584665,0.32632335977208676,0.6260823867895929,1.0,True,1,0.0,0.79296875,True,512
halfcheetah-medium-v2,1,mpi4,implicit,7.0,10.0,17.0,0.32865660703854094,0.35989361012015464,0.5948927229301478,0.26566282932538615,0.45905405293708934,0.15118487552632787,0.5787179693233069,nan,nan,nan,nan,nan,nan,nan,0.0,False,200,1.5269824266433716,0.79296875,False,512
halfcheetah-medium-v2,1,mpi4,explicit,10.0,10.0,20.0,0.3708736361323128,0.3708736361323128,0.9272458508857009,0.0,0.0,0.25374968188652125,0.3999733574197782,0.36373729741987304,0.4989656593770657,0.8950854763588383,0.3920239550017854,0.7032446861071041,0.39857967151883766,0.7150048674567887,1.0,True,1,0.0,0.806640625,True,512
halfcheetah-medium-v2,1,mpi4,implicit,10.0,10.0,20.0,0.43462078539644283,0.43462078539644283,0.8816095800812519,0.0,0.0,0.35735835184659726,0.4929855518997273,nan,nan,nan,nan,nan,nan,nan,0.0,False,200,1.5578373670578003,0.814453125,False,512
halfcheetah-medium-v2,2,mpi4,explicit,0.05,0.05,0.1,0.0587815184581421,0.0587815184581421,0.22342328121348984,0.0,0.0,0.054698152494988696,0.26309486701152696,0.26376704243028753,0.2634029589315235,1.0011710297638876,0.2629243908669094,0.9993520354594752,0.008629354106740096,0.032799401237888916,1.0,True,1,0.0,0.025390625,True,512
halfcheetah-medium-v2,2,mpi4,implicit,0.05,0.05,0.1,0.0556970310483064,0.0556970310483064,0.2051760569450501,0.0,0.0,0.05416209425648642,0.27145970089104055,0.2748023821822105,0.2723299302738664,0.9953351182213357,0.27234520471660706,0.995390944583336,0.0008509470412603465,0.003110115267393513,0.5234375,False,200,0.09210427105426788,0.02734375,True,512
halfcheetah-medium-v2,2,mpi4,explicit,0.1,0.1,0.2,0.06351843247499554,0.06351843247499554,0.2426985484426819,0.0,0.0,0.05708309153591509,0.2617173974981424,0.2634029589315235,0.2614013115044004,0.9987922622005125,0.2607225913062895,0.9961989298328555,0.009821222651230754,0.037526059578444584,1.0,True,1,0.0,0.04296875,True,512
halfcheetah-medium-v2,2,mpi4,implicit,0.1,0.1,0.2,0.059793863450849874,0.059793863450849874,0.22485802314485354,0.0,0.0,0.05595595421879134,0.26591830086636786,0.27971928163067156,0.28097909548850103,0.9998420885882856,0.2809896423299664,0.999879618696995,0.0012834925962806251,0.004567207805697203,0.39453125,False,200,0.10531384497880936,0.041015625,True,512
