method,K,integrator,T,h,seed,environment,score,status,source_csv
TD3+BC,1,Imp,0.15,0.15,3,hopper-expert-v2,,missing,K=1/Imp/seed3.csv
TD3+BC,1,Imp,0.15,0.15,3,halfcheetah-medium-v2,,missing,K=1/Imp/seed3.csv
TD3+BC,1,Imp,0.15,0.15,3,halfcheetah-medium-replay-v2,,missing,K=1/Imp/seed3.csv
TD3+BC,1,Imp,0.15,0.15,3,halfcheetah-expert-v2,,missing,K=1/Imp/seed3.csv
TD3+BC,1,Imp,0.15,0.15,3,walker2d-medium-v2,,missing,K=1/Imp/seed3.csv
TD3+BC,1,Imp,0.15,0.15,3,walker2d-medium-replay-v2,,missing,K=1/Imp/seed3.csv
TD3+BC,1,Imp,0.15,0.15,3,walker2d-expert-v2,,missing,K=1/Imp/seed3.csv
TD3+BC,1,Imp,0.2,0.2,0,hopper-medium-v2,55.738,available,K=1/Imp/seed0.csv
TD3+BC,1,Imp,0.2,0.2,0,hopper-medium-replay-v2,29.8587,available,K=1/Imp/seed0.csv
TD3+BC,1,Imp,0.2,0.2,0,hopper-expert-v2,103.3449,available,K=1/Imp/seed0.csv
TD3+BC,1,Imp,0.2,0.2,0,halfcheetah-medium-v2,43.7617,available,K=1/Imp/seed0.csv
TD3+BC,1,Imp,0.2,0.2,0,halfcheetah-medium-replay-v2,41.9101,available,K=1/Imp/seed0.csv
TD3+BC,1,Imp,0.2,0.2,0,halfcheetah-expert-v2,93.8278,available,K=1/Imp/seed0.csv
TD3+BC,1,Imp,0.2,0.2,0,walker2d-medium-v2,80.5353,available,K=1/Imp/seed0.csv
TD3+BC,1,Imp,0.2,0.2,0,walker2d-medium-replay-v2,26.5702,available,K=1/Imp/seed0.csv
TD3+BC,1,Imp,0.2,0.2,0,walker2d-expert-v2,107.6285,available,K=1/Imp/seed0.csv
TD3+BC,1,Imp,0.2,0.2,1,hopper-medium-v2,44.8474,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,0.2,0.2,1,hopper-medium-replay-v2,20.0396,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,0.2,0.2,1,hopper-expert-v2,103.8948,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,0.2,0.2,1,halfcheetah-medium-v2,44.6331,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,0.2,0.2,1,halfcheetah-medium-replay-v2,41.3975,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,0.2,0.2,1,halfcheetah-expert-v2,94.2365,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,0.2,0.2,1,walker2d-medium-v2,80.3559,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,0.2,0.2,1,walker2d-medium-replay-v2,48.0325,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,0.2,0.2,1,walker2d-expert-v2,106.6713,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,0.2,0.2,2,hopper-medium-v2,54.4974,available,K=1/Imp/seed2.csv
TD3+BC,1,Imp,0.2,0.2,2,hopper-medium-replay-v2,21.8853,available,K=1/Imp/seed2.csv
TD3+BC,1,Imp,0.2,0.2,2,hopper-expert-v2,111.1527,available,K=1/Imp/seed2.csv
TD3+BC,1,Imp,0.2,0.2,2,halfcheetah-medium-v2,43.7425,available,K=1/Imp/seed2.csv
TD3+BC,1,Imp,0.2,0.2,2,halfcheetah-medium-replay-v2,41.5792,available,K=1/Imp/seed2.csv
TD3+BC,1,Imp,0.2,0.2,2,halfcheetah-expert-v2,93.9216,available,K=1/Imp/seed2.csv
TD3+BC,1,Imp,0.2,0.2,2,walker2d-medium-v2,71.3135,available,K=1/Imp/seed2.csv
TD3+BC,1,Imp,0.2,0.2,2,walker2d-medium-replay-v2,26.6977,available,K=1/Imp/seed2.csv
TD3+BC,1,Imp,0.2,0.2,2,walker2d-expert-v2,107.2124,available,K=1/Imp/seed2.csv
TD3+BC,1,Imp,0.2,0.2,3,hopper-medium-v2,47.4592,available,K=1/Imp/seed3.csv
