method,T,seeds,available_runs,expected_runs,status,mean_score,std_seed_task_means,score_below_20_runs,score_below_20_task_means
I-MART-2,24,"2,3",18,18,complete,23.82282222222222,0.11555696152990912,12,6
I-MART-2,24,"0,1,2,3",18,36,partial,,,,
I-MART-2,28,"0,1",0,18,missing,,,,
I-MART-2,28,"2,3",18,18,complete,19.54063888888889,7.173040466454589,13,6
I-MART-2,28,"0,1,2,3",18,36,partial,,,,
I-MART-2,34,"0,1",0,18,missing,,,,
I-MART-2,34,"2,3",18,18,complete,21.84655,6.2024656985979325,12,6
I-MART-2,34,"0,1,2,3",18,36,partial,,,,
I-MART-2,40,"0,1",0,18,missing,,,,
I-MART-2,40,"2,3",18,18,complete,20.247516666666666,1.7949119966219191,12,6
I-MART-2,40,"0,1,2,3",18,36,partial,,,,
I-MART-3,0.05,"0,1",18,18,complete,58.306533333333334,1.7663055989519134,4,2
I-MART-3,0.05,"2,3",18,18,complete,61.97944444444444,0.8912845274596031,2,1
I-MART-3,0.05,"0,1,2,3",36,36,complete,60.14298888888889,2.4086302890440474,6,1
I-MART-3,0.1,"0,1",18,18,complete,60.691500000000005,0.14775389029993524,1,1
I-MART-3,0.1,"2,3",18,18,complete,60.956950000000006,1.634461611228676,3,1
I-MART-3,0.1,"0,1,2,3",36,36,complete,60.824225,0.9598193707114906,4,0
I-MART-3,0.2,"0,1",18,18,complete,68.60506666666667,4.429442585224742,1,0
I-MART-3,0.2,"2,3",18,18,complete,67.5637888888889,1.219570635738478,0,0
I-MART-3,0.2,"0,1,2,3",36,36,complete,68.08442777777778,2.719777782702835,1,0
I-MART-3,0.4,"0,1",18,18,complete,71.31931666666667,5.587455647289928,0,0
I-MART-3,0.4,"2,3",18,18,complete,70.69597222222222,2.3576275730901735,0,0
I-MART-3,0.4,"0,1,2,3",36,36,complete,71.00764444444445,3.5197834535781185,0,0
I-MART-3,0.7,"0,1",18,18,complete,75.24876666666667,3.8193508544169945,0,0
I-MART-3,0.7,"2,3",18,18,complete,71.38468333333333,2.4698847029745465,0,0
I-MART-3,0.7,"0,1,2,3",36,36,complete,73.31672499999999,3.445717699893013,0,0
I-MART-3,1.5,"0,1",18,18,complete,78.20623333333333,2.6261945853268367,0,0
I-MART-3,1.5,"2,3",18,18,complete,79.70077777777777,0.673668487178439,0,0
I-MART-3,1.5,"0,1,2,3",36,36,complete,78.95350555555555,1.7873994449140378,0,0
I-MART-3,2.5,"0,1",18,18,complete,81.55013333333332,2.475565127450076,0,0
I-MART-3,2.5,"2,3",18,18,complete,81.26961111111112,0.6675873688602237,0,0
I-MART-3,2.5,"0,1,2,3",36,36,complete,81.40987222222222,1.4891595294515536,0,0
I-MART-3,4,"0,1",18,18,complete,80.91394444444444,0.5496890982103919,0,0
I-MART-3,4,"2,3",18,18,complete,81.61106111111111,1.3241517286759732,0,0
I-MART-3,4,"0,1,2,3",36,36,complete,81.26250277777778,0.9204179398858915,0,0
I-MART-3,7,"0,1",18,18,complete,70.84152777777777,13.782587538981623,2,0
I-MART-3,7,"2,3",18,18,complete,71.16533333333334,17.66217603441369,2,0
I-MART-3,7,"0,1,2,3",36,36,complete,71.00343055555555,12.935958044383074,4,0
I-MART-3,10,"0,1",18,18,complete,53.9118,8.72437774718378,5,2
I-MART-3,10,"2,3",18,18,complete,48.374916666666664,0.11938319489032771,6,2
I-MART-3,10,"0,1,2,3",36,36,complete,51.14335833333333,5.96618517060168,11,2
I-MART-3,12,"0,1",18,18,complete,52.60358888888889,8.832737933029614,5,2
I-MART-3,12,"2,3",18,18,complete,46.88593888888889,3.3836552260758794,6,2
I-MART-3,12,"0,1,2,3",36,36,complete,49.74476388888889,6.381167698915063,11,2
I-MART-3,14,"0,1",18,18,complete,41.472233333333335,7.071680637742504,9,4
I-MART-3,14,"2,3",18,18,complete,41.88057222222223,6.759524420816695,8,3
I-MART-3,14,"0,1,2,3",36,36,complete,41.67640277777778,5.6529219018727686,17,4
I-MART-3,17,"0,1",18,18,complete,29.22916111111111,8.102555900550346,11,5
I-MART-3,17,"2,3",18,18,complete,36.26976666666667,0.9661121383931666,10,4
I-MART-3,17,"0,1,2,3",36,36,complete,32.74946388888889,6.222403377431521,21,4
I-MART-3,20,"0,1",18,18,complete,40.510727777777774,11.892302551061663,9,4
I-MART-3,20,"2,3",18,18,complete,31.154472222222225,8.903487894858332,11,5
I-MART-3,20,"0,1,2,3",36,36,complete,35.8326,10.136377963893887,20,4
I-MART-3,24,"0,1",0,18,missing,,,,
I-MART-3,24,"2,3",3,18,partial,,,,
I-MART-3,24,"0,1,2,3",3,36,partial,,,,
I-MART-3,28,"0,1",0,18,missing,,,,
I-MART-3,28,"2,3",1,18,partial,,,,
I-MART-3,28,"0,1,2,3",1,36,partial,,,,
I-MART-3,34,"0,1",0,18,missing,,,,
I-MART-3,34,"2,3",2,18,partial,,,,
I-MART-3,34,"0,1,2,3",2,36,partial,,,,
I-MART-3,40,"0,1",0,18,missing,,,,
I-MART-3,40,"2,3",2,18,partial,,,,
I-MART-3,40,"0,1,2,3",2,36,partial,,,,
I-MART-4,0.05,"0,1",18,18,complete,58.970016666666666,0.4479521458816764,1,1
I-MART-4,0.05,"2,3",18,18,complete,60.2041,3.427063725698723,3,1
I-MART-4,0.05,"0,1,2,3",36,36,complete,59.58705833333333,2.1188352601221836,4,1
I-MART-4,0.1,"0,1",18,18,complete,66.70445000000001,1.4399601059503058,0,0
I-MART-4,0.1,"2,3",18,18,complete,61.19152222222222,1.1944290612962907,3,2
I-MART-4,0.1,"0,1,2,3",36,36,complete,63.94798611111111,3.3611763105690344,3,0
I-MART-4,0.2,"0,1",18,18,complete,70.43626111111111,0.30506943562991445,0,0
