h,beta,q_scale,converged,iterations,fixed_point_residual_max,explicit_implicit_rms,explicit_move_rms,implicit_move_rms,relative_difference,projection_fraction_explicit,projection_fraction_implicit,projection_fraction_union,environment,seed,checkpoint,n_states,local_loglog_slope_when_identifiable,local_points_eligible,local_max_relative_difference,local_exact_agreement_fraction
0.001,2.48980032237317e-05,240.98318030102348,True,3,0.0,1.434857040294446e-06,6.236520130187273e-05,6.221181683940813e-05,0.023064059421353124,0.0,0.0,0.0,walker2d-medium-v2,0,/home/ext_csv/mpi_sweep_lab/results_qnorm/walker2d-medium-v2_tau1_seed0/params_1000000.pkl,512,,2,0.023899077149252868,0.0
0.003,7.46940096711951e-05,240.98318030102348,True,3,0.0,4.461050593818072e-06,0.00018709579308051616,0.00018666204414330423,0.023899077149252868,0.0,0.0,0.0,walker2d-medium-v2,0,/home/ext_csv/mpi_sweep_lab/results_qnorm/walker2d-medium-v2_tau1_seed0/params_1000000.pkl,512,,2,0.023899077149252868,0.0
0.01,0.000248980032237317,240.98318030102348,False,200,0.00029143691062927246,2.0434419639059342e-05,0.0006236516637727618,0.0006219948991201818,0.0328530341132444,0.0,0.0,0.0,walker2d-medium-v2,0,/home/ext_csv/mpi_sweep_lab/results_qnorm/walker2d-medium-v2_tau1_seed0/params_1000000.pkl,512,,2,0.023899077149252868,0.0
0.03,0.0007469400967119509,240.98318030102348,False,200,0.0010821819305419922,0.00012970395619049668,0.0018709551077336073,0.0018468017224222422,0.07023166299649027,0.0,0.0,0.0,walker2d-medium-v2,0,/home/ext_csv/mpi_sweep_lab/results_qnorm/walker2d-medium-v2_tau1_seed0/params_1000000.pkl,512,,2,0.023899077149252868,0.0
0.1,0.00248980032237317,240.98318030102348,False,200,0.03062206506729126,0.0010032635182142258,0.006236516870558262,0.005941899958997965,0.16884557551241824,0.0,0.0,0.0,walker2d-medium-v2,0,/home/ext_csv/mpi_sweep_lab/results_qnorm/walker2d-medium-v2_tau1_seed0/params_1000000.pkl,512,,2,0.023899077149252868,0.0
0.001,2.37784946960676e-05,252.32884068949318,True,2,0.0,0.0,5.456853978103027e-05,5.456853978103027e-05,0.0,0.0,0.0,0.0,walker2d-medium-v2,1,/home/ext_csv/mpi_sweep_lab/results_qnorm/walker2d-medium-v2_tau1_seed1/params_1000000.pkl,512,,1,0.0,1.0
0.003,7.133548408820281e-05,252.32884068949318,False,200,0.00014237314462661743,2.8036909043294145e-06,0.0001637059322092682,0.00016368580691050738,0.0171284912067073,0.0,0.0,0.0,walker2d-medium-v2,1,/home/ext_csv/mpi_sweep_lab/results_qnorm/walker2d-medium-v2_tau1_seed1/params_1000000.pkl,512,,1,0.0,1.0
0.01,0.000237784946960676,252.32884068949318,False,200,0.0011584758758544922,3.0330806112033315e-05,0.0005456861690618098,0.0005450681201182306,0.055645900012376924,0.0,0.0,0.0,walker2d-medium-v2,1,/home/ext_csv/mpi_sweep_lab/results_qnorm/walker2d-medium-v2_tau1_seed1/params_1000000.pkl,512,,1,0.0,1.0
0.03,0.000713354840882028,252.32884068949318,False,200,0.003475368022918701,0.000113822148705367,0.0016370585653930902,0.0016324948519468307,0.06972282244542974,0.0,0.0,0.0,walker2d-medium-v2,1,/home/ext_csv/mpi_sweep_lab/results_qnorm/walker2d-medium-v2_tau1_seed1/params_1000000.pkl,512,,1,0.0,1.0
0.1,0.00237784946960676,252.32884068949318,False,200,0.011584579944610596,0.0010396832367405295,0.005456862039864063,0.005193766206502914,0.2001790599351165,0.0,0.0,0.0,walker2d-medium-v2,1,/home/ext_csv/mpi_sweep_lab/results_qnorm/walker2d-medium-v2_tau1_seed1/params_1000000.pkl,512,,1,0.0,1.0
