task,T,training_seed,method,state_set,metric,actor_a,actor_b,value,n,n_excluded,q_weight,action_grad_norm,paired,checkpoint_hash
hopper-medium-v2,14,0,MART4,dataset,adjacent_rms,mu1,mu2,0.05892132595181465,4096,0,,,True,0ceed413b05e58b8a621449786c897bf563b766ccf8e1f85e0509edb90ac39ce
hopper-medium-v2,14,0,MART4,dataset,adjacent_rms,mu2,mu3,0.06669174134731293,4096,0,,,True,0ceed413b05e58b8a621449786c897bf563b766ccf8e1f85e0509edb90ac39ce
hopper-medium-v2,14,0,MART4,dataset,adjacent_rms,mu3,mu4,0.06357289850711823,4096,0,,,True,0ceed413b05e58b8a621449786c897bf563b766ccf8e1f85e0509edb90ac39ce
hopper-medium-v2,14,0,MART4,dataset,from_mu1_rms,mu1,mu2,0.05892132595181465,4096,0,,,True,0ceed413b05e58b8a621449786c897bf563b766ccf8e1f85e0509edb90ac39ce
hopper-medium-v2,14,0,MART4,dataset,from_mu1_rms,mu1,mu3,0.09956714510917664,4096,0,,,True,0ceed413b05e58b8a621449786c897bf563b766ccf8e1f85e0509edb90ac39ce
hopper-medium-v2,14,0,MART4,dataset,from_mu1_rms,mu1,mu4,0.12120842933654785,4096,0,,,True,0ceed413b05e58b8a621449786c897bf563b766ccf8e1f85e0509edb90ac39ce
hopper-medium-v2,14,0,MART4,dataset,cos_d2_d3,delta,delta,0.18075700104236603,4096,0,,,True,0ceed413b05e58b8a621449786c897bf563b766ccf8e1f85e0509edb90ac39ce
hopper-medium-v2,14,0,MART4,dataset,cos_d3_d4,delta,delta,-0.04626445472240448,4096,0,,,True,0ceed413b05e58b8a621449786c897bf563b766ccf8e1f85e0509edb90ac39ce
hopper-medium-v2,14,0,MART4,dataset,cos_d2_d4,delta,delta,0.161735400557518,4096,0,,,True,0ceed413b05e58b8a621449786c897bf563b766ccf8e1f85e0509edb90ac39ce
hopper-medium-v2,14,0,MART4,rollout_union,bound_frac,mu1,,0.22895408163265307,1568,0,0.023297952488064766,1.9565668106079102,True,0ceed413b05e58b8a621449786c897bf563b766ccf8e1f85e0509edb90ac39ce
hopper-medium-v2,14,0,MART4,rollout_union,bound_frac,mu2,,0.2385204081632653,1568,0,0.023297952488064766,1.939921498298645,True,0ceed413b05e58b8a621449786c897bf563b766ccf8e1f85e0509edb90ac39ce
hopper-medium-v2,14,0,MART4,rollout_union,bound_frac,mu3,,0.2582908163265306,1568,0,0.023291466757655144,1.955458641052246,True,0ceed413b05e58b8a621449786c897bf563b766ccf8e1f85e0509edb90ac39ce
hopper-medium-v2,14,0,MART4,rollout_union,bound_frac,mu4,,0.27869897959183676,1568,0,0.023285740986466408,1.9828603267669678,True,0ceed413b05e58b8a621449786c897bf563b766ccf8e1f85e0509edb90ac39ce
hopper-medium-v2,14,0,MART4,rollout_union,adjacent_rms,mu1,mu2,0.05758833512663841,1568,0,,,True,0ceed413b05e58b8a621449786c897bf563b766ccf8e1f85e0509edb90ac39ce
hopper-medium-v2,14,0,MART4,rollout_union,adjacent_rms,mu2,mu3,0.056059014052152634,1568,0,,,True,0ceed413b05e58b8a621449786c897bf563b766ccf8e1f85e0509edb90ac39ce
hopper-medium-v2,14,0,MART4,rollout_union,adjacent_rms,mu3,mu4,0.06948856264352798,1568,0,,,True,0ceed413b05e58b8a621449786c897bf563b766ccf8e1f85e0509edb90ac39ce
