task,T,training_seed,method,actor_index,actor_role,checkpoint_hash,checkpoint_step,evaluation_seed,raw_return,normalized_score,episode_length,host_run_dir
hopper-medium-v2,4,0,two_actor_p4,2,deployment,2ab14b0b352781ed285ebf5e2b2ebf628dda13b8c9b59f78b65f8a6c6b9d0bca,1000000,10009,1838.1043331901815,57.1004870696883,560,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/two_actor_p4/hopper-medium-v2_tau4_mcep4_seed0
hopper-medium-v2,4,1,MART4,2,mu2,a86004530a9b4190850300b6d6dd85c1d7e9a324b0f4f801b8d0da3be7dee6b1,1000000,10000,1542.7560523075458,48.02561476069421,476,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau4_mpi4_seed1
hopper-medium-v2,4,1,MART4,2,mu2,a86004530a9b4190850300b6d6dd85c1d7e9a324b0f4f801b8d0da3be7dee6b1,1000000,10001,1522.606423425881,47.40649719336565,468,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau4_mpi4_seed1
hopper-medium-v2,4,1,MART4,2,mu2,a86004530a9b4190850300b6d6dd85c1d7e9a324b0f4f801b8d0da3be7dee6b1,1000000,10002,1555.1224625207753,48.405585124057495,480,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau4_mpi4_seed1
hopper-medium-v2,4,1,MART4,2,mu2,a86004530a9b4190850300b6d6dd85c1d7e9a324b0f4f801b8d0da3be7dee6b1,1000000,10003,1747.598272731272,54.31959754021417,533,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau4_mpi4_seed1
hopper-medium-v2,4,1,MART4,2,mu2,a86004530a9b4190850300b6d6dd85c1d7e9a324b0f4f801b8d0da3be7dee6b1,1000000,10004,1552.8005542384078,48.33424216207136,478,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau4_mpi4_seed1
hopper-medium-v2,4,1,MART4,2,mu2,a86004530a9b4190850300b6d6dd85c1d7e9a324b0f4f801b8d0da3be7dee6b1,1000000,10005,1529.8809971368382,47.63001577059257,469,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau4_mpi4_seed1
hopper-medium-v2,4,1,MART4,2,mu2,a86004530a9b4190850300b6d6dd85c1d7e9a324b0f4f801b8d0da3be7dee6b1,1000000,10006,1279.466210761664,39.935770170626576,410,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau4_mpi4_seed1
hopper-medium-v2,4,1,MART4,2,mu2,a86004530a9b4190850300b6d6dd85c1d7e9a324b0f4f801b8d0da3be7dee6b1,1000000,10007,1693.9081629768796,52.66991504055337,523,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau4_mpi4_seed1
hopper-medium-v2,4,1,MART4,2,mu2,a86004530a9b4190850300b6d6dd85c1d7e9a324b0f4f801b8d0da3be7dee6b1,1000000,10008,1308.7268182805267,40.83483169935371,416,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau4_mpi4_seed1
hopper-medium-v2,4,1,MART4,2,mu2,a86004530a9b4190850300b6d6dd85c1d7e9a324b0f4f801b8d0da3be7dee6b1,1000000,10009,1436.6324054912438,44.764859218306526,443,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau4_mpi4_seed1
