task,T,training_seed,method,actor_index,actor_role,n_episodes,mean_normalized,std_normalized
hopper-expert-v2,20,0,two_actor_p4,2,deployment,10,1.8093330671800953,0.029669433669284276
hopper-expert-v2,20,1,MART4,1,mu1,10,12.166543692931533,0.048353564827225935
hopper-expert-v2,20,1,MART4,2,mu2,10,7.736036092635189,0.056021171210618774
hopper-expert-v2,20,1,MART4,3,mu3,10,2.318831040212662,0.021025798488707673
hopper-expert-v2,20,1,MART4,4,mu4,10,7.76567044362195,0.05079279936902503
hopper-expert-v2,20,1,two_actor_p4,1,target_value,10,1.8093330749201786,0.02966943436993389
hopper-expert-v2,20,1,two_actor_p4,2,deployment,10,1.8093330671800953,0.029669433669284276
hopper-medium-replay-v2,4,0,MART4,1,mu1,10,53.25687324918415,17.337759109552884
hopper-medium-replay-v2,4,0,MART4,2,mu2,10,99.12061185565426,0.297912055812066
hopper-medium-replay-v2,4,0,MART4,3,mu3,10,99.62010580177092,0.186525051401123
hopper-medium-replay-v2,4,0,MART4,4,mu4,10,99.02465934737398,0.22048162192418444
hopper-medium-replay-v2,4,0,two_actor_p4,1,target_value,10,36.44359664247009,4.701908022317312
hopper-medium-replay-v2,4,0,two_actor_p4,2,deployment,10,96.82221363617008,0.244699134886122
hopper-medium-replay-v2,4,1,MART4,1,mu1,10,23.07259899028517,4.595920508281901
hopper-medium-replay-v2,4,1,MART4,2,mu2,10,99.25226017624321,0.10225128307526628
hopper-medium-replay-v2,4,1,MART4,3,mu3,10,99.06314339962461,0.19276990822305345
hopper-medium-replay-v2,4,1,MART4,4,mu4,10,99.01468718717436,0.19830311188997968
hopper-medium-replay-v2,4,1,two_actor_p4,1,target_value,10,35.64828988096674,26.17731386450895
hopper-medium-replay-v2,4,1,two_actor_p4,2,deployment,10,98.3885029026815,0.1753891747964789
hopper-medium-replay-v2,7,0,MART4,1,mu1,10,44.24623884138024,7.085547929597024
hopper-medium-replay-v2,7,0,MART4,2,mu2,10,98.84558652617922,0.2219483614433774
hopper-medium-replay-v2,7,0,MART4,3,mu3,10,98.94528339333895,0.19144630059247875
hopper-medium-replay-v2,7,0,MART4,4,mu4,10,99.47513842476474,0.22257220172698888
hopper-medium-replay-v2,7,0,two_actor_p4,1,target_value,10,47.48586734067305,12.92129189371704
hopper-medium-replay-v2,7,0,two_actor_p4,2,deployment,10,98.21077971809645,0.27876554646026275
hopper-medium-replay-v2,7,1,MART4,1,mu1,10,98.86446505515117,0.2987131865319623
hopper-medium-replay-v2,7,1,MART4,2,mu2,10,99.33354292595334,0.20420382846054427
hopper-medium-replay-v2,7,1,MART4,3,mu3,10,97.95963833387725,0.2672340796368952
hopper-medium-replay-v2,7,1,MART4,4,mu4,10,100.42883828332464,0.11872155382745275
hopper-medium-replay-v2,7,1,two_actor_p4,1,target_value,10,53.9708083849077,28.434924071827457
hopper-medium-replay-v2,7,1,two_actor_p4,2,deployment,10,98.48447875492971,0.09808146969058239
hopper-medium-replay-v2,10,0,MART4,1,mu1,10,55.36944577005676,19.79891694266821
hopper-medium-replay-v2,10,0,MART4,2,mu2,10,99.42909221568645,0.11845018200331281
hopper-medium-replay-v2,10,0,MART4,3,mu3,10,100.3590368400521,0.2133083602358836
hopper-medium-replay-v2,10,0,MART4,4,mu4,10,100.75349494517232,0.2524657151602296
hopper-medium-replay-v2,10,0,two_actor_p4,1,target_value,10,64.3899112041829,15.387844986492457
hopper-medium-replay-v2,10,0,two_actor_p4,2,deployment,10,100.286463538428,0.11566608049685877
hopper-medium-replay-v2,10,1,MART4,1,mu1,10,53.87788256504352,21.914965890002005
hopper-medium-replay-v2,10,1,MART4,2,mu2,10,100.3637234590717,0.1969557334003155
hopper-medium-replay-v2,10,1,MART4,3,mu3,10,98.94029713337045,0.1299765217476282
hopper-medium-replay-v2,10,1,MART4,4,mu4,10,100.09646089724525,0.08768188491041465
hopper-medium-replay-v2,10,1,two_actor_p4,1,target_value,10,52.97858804812879,37.18670060476507
hopper-medium-replay-v2,10,1,two_actor_p4,2,deployment,10,99.22743006731743,0.13422855949971427
hopper-medium-replay-v2,14,0,MART4,1,mu1,10,58.15286574285136,15.794080069135944
hopper-medium-replay-v2,14,0,MART4,2,mu2,10,98.57432640606922,0.25562529311855886
hopper-medium-replay-v2,14,0,MART4,3,mu3,10,98.50490800395286,0.0591714218801076
hopper-medium-replay-v2,14,0,MART4,4,mu4,10,97.36654495325637,0.0670867669982109
hopper-medium-replay-v2,14,0,two_actor_p4,1,target_value,10,34.40015727292199,10.054745740406071
hopper-medium-replay-v2,14,0,two_actor_p4,2,deployment,10,98.8366842819025,0.17730755729230802
hopper-medium-replay-v2,14,1,MART4,1,mu1,10,84.38957780278557,30.728874861038484
hopper-medium-replay-v2,14,1,MART4,2,mu2,10,99.87117629681444,0.09429770839599069
hopper-medium-replay-v2,14,1,MART4,3,mu3,10,99.26683485851395,0.12392037612178639
hopper-medium-replay-v2,14,1,MART4,4,mu4,10,100.14735999205102,0.1522661998622804
hopper-medium-replay-v2,14,1,two_actor_p4,1,target_value,10,60.999182130742476,37.45399530881447
hopper-medium-replay-v2,14,1,two_actor_p4,2,deployment,10,99.47626558067633,0.17112988744442106
hopper-medium-replay-v2,20,0,MART4,1,mu1,10,91.9476581069172,13.731221706249228
hopper-medium-replay-v2,20,0,MART4,2,mu2,10,100.49422626711595,0.06123472603710137
hopper-medium-replay-v2,20,0,MART4,3,mu3,10,100.82456764966344,0.1836436106181816
hopper-medium-replay-v2,20,0,MART4,4,mu4,10,101.27703642348965,0.3602561111073407
hopper-medium-replay-v2,20,0,two_actor_p4,1,target_value,10,91.04893253205675,15.239888843683586
hopper-medium-replay-v2,20,0,two_actor_p4,2,deployment,10,100.66040900071565,0.12874242396034513
hopper-medium-replay-v2,20,1,MART4,1,mu1,10,24.931157183133482,4.734145773235028
hopper-medium-replay-v2,20,1,MART4,2,mu2,10,101.41367453401597,0.23400901356816312
hopper-medium-replay-v2,20,1,MART4,3,mu3,10,100.05498002047324,0.2854011261182336
hopper-medium-replay-v2,20,1,MART4,4,mu4,10,99.63249148049455,0.14303210429717206
hopper-medium-replay-v2,20,1,two_actor_p4,1,target_value,10,83.52034944188954,26.283009348795407
hopper-medium-replay-v2,20,1,two_actor_p4,2,deployment,10,99.69359862300173,0.15947190699726788
hopper-medium-v2,4,0,MART4,1,mu1,10,48.93194671227714,5.630596627948489
hopper-medium-v2,4,0,MART4,2,mu2,10,54.83446937388798,11.625233518150393
hopper-medium-v2,4,0,MART4,3,mu3,10,51.57271419838413,9.079196519801176
hopper-medium-v2,4,0,MART4,4,mu4,10,65.97890991878539,18.97501946897864
hopper-medium-v2,4,0,two_actor_p4,1,target_value,10,51.076481800603936,4.7276309754251695
hopper-medium-v2,4,0,two_actor_p4,2,deployment,10,58.795639567783326,11.944951541108727
hopper-medium-v2,4,1,MART4,1,mu1,10,51.27353119787324,7.877000210020287
hopper-medium-v2,4,1,MART4,2,mu2,10,47.232692867983566,4.283239425317886
hopper-medium-v2,4,1,MART4,3,mu3,10,56.818995051640044,11.097755393321831
hopper-medium-v2,4,1,MART4,4,mu4,10,63.64222324391253,12.99960982251859
hopper-medium-v2,4,1,two_actor_p4,1,target_value,10,43.177836351281215,4.37317183032716
hopper-medium-v2,4,1,two_actor_p4,2,deployment,10,63.03180459341354,11.824820527435547
hopper-medium-v2,7,0,MART4,1,mu1,10,51.000127179022265,6.71941407801394
hopper-medium-v2,7,0,MART4,2,mu2,10,59.4971936805979,5.5848809430300825
hopper-medium-v2,7,0,MART4,3,mu3,10,59.854610199211336,13.452266920939635
hopper-medium-v2,7,0,MART4,4,mu4,10,100.46322048509231,0.28127716909442335
hopper-medium-v2,7,0,two_actor_p4,1,target_value,10,43.263964322839115,4.7775295136560585
hopper-medium-v2,7,0,two_actor_p4,2,deployment,10,99.10605751560672,0.4063989804948387
