task,T,training_seed,kind,hop,first_source,continuation_source,evaluation_seed,raw_return,discounted_return,normalized_score,episode_length,terminated,truncated,q_mart_first,q_mart_cont_action,delta_q_mart,q_two_first,q_two_cont_action,delta_q_two,first_action_rms,checkpoint_hash_mart,checkpoint_hash_two
hopper-medium-replay-v2,10,1,hybrid,2,mart_hop,mart_polyak_mu1,10008,1845.081994048611,249.01270233195507,57.31488270157239,545,1,0,202.5704803466797,202.02984619140625,0.5406341552734375,205.07933044433594,204.86265563964844,0.2166748046875,0.0742906853556633,e7f827ecf0e3aaed0fa772d58f597439b77fc47b3ae2565b7cd551ecc60b8db3,4000e5ce69f8f0ae9110dc7f51294a78e44c105a71977db512b1fc314329b1f2
hopper-medium-replay-v2,10,1,hybrid,2,mart_hop,mart_polyak_mu1,10009,3245.075623567291,248.47836601265806,100.33109184732926,1000,0,1,202.13348388671875,201.54148864746094,0.5919952392578125,204.25624084472656,203.9894256591797,0.266815185546875,0.07832660526037216,e7f827ecf0e3aaed0fa772d58f597439b77fc47b3ae2565b7cd551ecc60b8db3,4000e5ce69f8f0ae9110dc7f51294a78e44c105a71977db512b1fc314329b1f2
hopper-medium-v2,10,0,hybrid,2,mart_hop,two_actor_polyak_target,10000,1725.833178663833,238.91015726859877,53.65084318395049,526,1,0,217.8072967529297,217.592529296875,0.2147674560546875,217.5169219970703,217.42269897460938,0.0942230224609375,0.056681156158447266,c18b5784bbb5ff656afb5d80ca61d1b5a828853cc6108b710ad009500f1d0f3d,11d881d2cdb89c2d671efbb1858f595689221bb8c08588fb35a4307829be8480
hopper-medium-v2,10,0,hybrid,2,mart_hop,two_actor_polyak_target,10001,1344.5969110708581,236.1675239805557,41.93697629559525,422,1,0,218.1618194580078,217.97108459472656,0.19073486328125,217.86354064941406,217.73358154296875,0.1299591064453125,0.05034197121858597,c18b5784bbb5ff656afb5d80ca61d1b5a828853cc6108b710ad009500f1d0f3d,11d881d2cdb89c2d671efbb1858f595689221bb8c08588fb35a4307829be8480
hopper-medium-v2,10,0,hybrid,2,mart_hop,two_actor_polyak_target,10002,1562.5234333049054,238.14548878579276,48.63298737819577,484,1,0,217.7322235107422,217.56527709960938,0.1669464111328125,217.4708709716797,217.3664093017578,0.104461669921875,0.05672168359160423,c18b5784bbb5ff656afb5d80ca61d1b5a828853cc6108b710ad009500f1d0f3d,11d881d2cdb89c2d671efbb1858f595689221bb8c08588fb35a4307829be8480
hopper-medium-v2,10,0,hybrid,2,mart_hop,two_actor_polyak_target,10003,1593.35886053086,238.59952512150812,49.580436822738214,495,1,0,217.0830535888672,216.84483337402344,0.23822021484375,216.85897827148438,216.74229431152344,0.1166839599609375,0.0671377182006836,c18b5784bbb5ff656afb5d80ca61d1b5a828853cc6108b710ad009500f1d0f3d,11d881d2cdb89c2d671efbb1858f595689221bb8c08588fb35a4307829be8480
hopper-medium-v2,10,0,hybrid,2,mart_hop,two_actor_polyak_target,10004,1753.212868131898,238.20816572495278,54.492111618085495,536,1,0,217.80477905273438,217.6462860107422,0.1584930419921875,217.541748046875,217.4300079345703,0.1117401123046875,0.05039934441447258,c18b5784bbb5ff656afb5d80ca61d1b5a828853cc6108b710ad009500f1d0f3d,11d881d2cdb89c2d671efbb1858f595689221bb8c08588fb35a4307829be8480
hopper-medium-v2,10,0,hybrid,2,mart_hop,two_actor_polyak_target,10005,1682.0674924990026,238.5001897931819,52.30609855813305,514,1,0,217.7339324951172,217.54757690429688,0.1863555908203125,217.59347534179688,217.48216247558594,0.1113128662109375,0.06645365059375763,c18b5784bbb5ff656afb5d80ca61d1b5a828853cc6108b710ad009500f1d0f3d,11d881d2cdb89c2d671efbb1858f595689221bb8c08588fb35a4307829be8480
hopper-medium-v2,10,0,hybrid,2,mart_hop,two_actor_polyak_target,10006,1580.7415063079325,237.58972524237038,49.19275595285729,493,1,0,218.6100311279297,218.464599609375,0.1454315185546875,218.45138549804688,218.31903076171875,0.132354736328125,0.05537073686718941,c18b5784bbb5ff656afb5d80ca61d1b5a828853cc6108b710ad009500f1d0f3d,11d881d2cdb89c2d671efbb1858f595689221bb8c08588fb35a4307829be8480
hopper-medium-v2,10,0,hybrid,2,mart_hop,two_actor_polyak_target,10007,1437.6222141841029,237.69576997957293,44.795272083657174,443,1,0,218.7685089111328,218.5846710205078,0.183837890625,218.6859588623047,218.55654907226562,0.1294097900390625,0.051815107464790344,c18b5784bbb5ff656afb5d80ca61d1b5a828853cc6108b710ad009500f1d0f3d,11d881d2cdb89c2d671efbb1858f595689221bb8c08588fb35a4307829be8480
