environment,seed,tau,method,hop,n_hops,ref_method,hop_vs_mpi1_final_rms,relative_hop_vs_mpi1_final,hop_vs_prev_rms,hop_vs_aD_rms,is_final_hop,n_states
halfcheetah-medium-v2,2,12.0,mpi2,1,2,mpi1,0.20188805366591403,0.5865603351037258,0.283979261984093,0.283979261984093,False,512
halfcheetah-medium-v2,2,12.0,mpi2,2,2,mpi1,0.22381004535001295,0.6502519233620614,0.141299889482509,0.33714952215287414,True,512
halfcheetah-medium-v2,2,12.0,mpi3,1,3,mpi1,0.2183680708731238,0.6344409513167701,0.275723257618693,0.275723257618693,False,512
halfcheetah-medium-v2,2,12.0,mpi3,2,3,mpi1,0.2268844653581021,0.6591842638222778,0.12467522900263336,0.318308964090584,False,512
halfcheetah-medium-v2,2,12.0,mpi3,3,3,mpi1,0.2510488109928169,0.7293907293148599,0.10127743084785278,0.3543620854697458,True,512
halfcheetah-medium-v2,2,14.0,mpi1,1,1,mpi1,0.0,0.0,0.3482908503006933,0.3482908503006933,True,512
halfcheetah-medium-v2,2,14.0,mpi2,1,2,mpi1,0.21312176340871514,0.6119074423709916,0.2983361792391171,0.2983361792391171,False,512
halfcheetah-medium-v2,2,14.0,mpi2,2,2,mpi1,0.2346481619254696,0.6737132535146662,0.15644976741255043,0.3562752828567231,True,512
halfcheetah-medium-v2,2,14.0,mpi3,1,3,mpi1,0.222106945199013,0.6377053689675146,0.27831665764530267,0.27831665764530267,False,512
halfcheetah-medium-v2,2,14.0,mpi3,2,3,mpi1,0.22385703736102464,0.6427301698214581,0.12597610378731913,0.32486461342904016,False,512
halfcheetah-medium-v2,2,14.0,mpi3,3,3,mpi1,0.23731190311074046,0.681361290156947,0.12278675237589823,0.3668807740597502,True,512
halfcheetah-medium-v2,2,17.0,mpi1,1,1,mpi1,0.0,0.0,0.36710406117098876,0.36710406117098876,True,512
halfcheetah-medium-v2,2,17.0,mpi2,1,2,mpi1,0.22844644148088322,0.6222934193432365,0.3084894546584382,0.3084894546584382,False,512
halfcheetah-medium-v2,2,17.0,mpi2,2,2,mpi1,0.24651308984542658,0.6715073896461373,0.15862439181993404,0.37698327374050883,True,512
halfcheetah-medium-v2,2,17.0,mpi3,1,3,mpi1,0.23848746639546625,0.6496454047245862,0.2856279247211527,0.2856279247211527,False,512
halfcheetah-medium-v2,2,17.0,mpi3,2,3,mpi1,0.23969798381346438,0.6529428823230002,0.12829569331599217,0.33363382025343585,False,512
