environment,seed,tau,method_a,method_b,final_action_rms,relative_final_action_rms,aD_to_final_a_rms,aD_to_final_b_rms,n_states
halfcheetah-medium-replay-v2,3,7.0,mpi1,mpi3,0.3057610448491066,0.5745800493127498,0.46650979092871353,0.532146991902738,512
halfcheetah-medium-replay-v2,3,7.0,mpi2,mpi3,0.2806434544755668,0.5273795750909005,0.5179025917982331,0.532146991902738,512
halfcheetah-medium-replay-v2,3,10.0,mpi1,mpi2,0.3354963723025723,0.633637429396305,0.49288510902313487,0.5294768849469875,512
halfcheetah-medium-replay-v2,3,10.0,mpi1,mpi3,0.3430102020773906,0.6160845296518342,0.49288510902313487,0.5567583433254439,512
halfcheetah-medium-replay-v2,3,10.0,mpi2,mpi3,0.2916117170410128,0.5237671254269035,0.5294768849469875,0.5567583433254439,512
halfcheetah-medium-replay-v2,3,14.0,mpi1,mpi2,0.340224329614796,0.6164109284593803,0.5125827657102648,0.5519440261468626,512
halfcheetah-medium-replay-v2,3,14.0,mpi1,mpi3,0.37975151184349704,0.6536061502667719,0.5125827657102648,0.5810096977950712,512
halfcheetah-medium-replay-v2,3,14.0,mpi2,mpi3,0.35568701492499866,0.6121877419169234,0.5519440261468626,0.5810096977950712,512
halfcheetah-medium-replay-v2,3,17.0,mpi1,mpi2,0.3503675804888102,0.6093998464516547,0.5380278090801855,0.5749387410070603,512
halfcheetah-medium-replay-v2,3,17.0,mpi1,mpi3,0.3749948943957542,0.628331000433815,0.5380278090801855,0.5968110663596872,512
halfcheetah-medium-replay-v2,3,17.0,mpi2,mpi3,0.34758347033296383,0.5824011817560394,0.5749387410070603,0.5968110663596872,512
halfcheetah-medium-replay-v2,3,20.0,mpi1,mpi2,0.3527577201923201,0.6052533296267676,0.5544746806238849,0.5828265668688677,512
halfcheetah-medium-replay-v2,3,20.0,mpi1,mpi3,0.39195311604110217,0.6420147985196776,0.5544746806238849,0.6105047998034409,512
halfcheetah-medium-replay-v2,3,20.0,mpi2,mpi3,0.36061999255642085,0.5906914944362872,0.5828265668688677,0.6105047998034409,512
halfcheetah-expert-v2,2,0.05,mpi1,mpi2,0.05638966596882419,0.2922010900869602,0.19076114175351216,0.19298239425473193,512
halfcheetah-expert-v2,2,0.05,mpi1,mpi3,0.0645987115387579,0.3314431119233791,0.19076114175351216,0.19490135475704626,512
halfcheetah-expert-v2,2,0.05,mpi2,mpi3,0.04657908020205255,0.23898797553313866,0.19298239425473193,0.19490135475704626,512
halfcheetah-expert-v2,2,0.1,mpi1,mpi2,0.05890325618500882,0.3020188898675305,0.19144996340317208,0.19503169556991806,512
halfcheetah-expert-v2,2,0.1,mpi1,mpi3,0.0639849996072202,0.326503926617752,0.19144996340317208,0.1959700768993488,512
halfcheetah-expert-v2,2,0.1,mpi2,mpi3,0.047586071893093294,0.24282315262617227,0.19503169556991806,0.1959700768993488,512
halfcheetah-expert-v2,2,0.2,mpi1,mpi2,0.05754963628422672,0.2946001092427841,0.19339873540980482,0.19534831956494372,512
halfcheetah-expert-v2,2,0.2,mpi1,mpi3,0.0652303463253088,0.33236801615581024,0.19339873540980482,0.19625939667651288,512
halfcheetah-expert-v2,2,0.2,mpi2,mpi3,0.04862490976472226,0.24775837788225194,0.19534831956494372,0.19625939667651288,512
halfcheetah-expert-v2,2,0.4,mpi1,mpi2,0.05889046732452139,0.3005836995860204,0.19268975341387976,0.19592036230051207,512
halfcheetah-expert-v2,2,0.4,mpi1,mpi3,0.0642845935790591,0.3288151145588996,0.19268975341387976,0.19550376711026765,512
halfcheetah-expert-v2,2,0.4,mpi2,mpi3,0.047856780747049354,0.24426649780100101,0.19592036230051207,0.19550376711026765,512
halfcheetah-expert-v2,2,1.5,mpi1,mpi2,0.05886611759484365,0.2952844457799102,0.1950371685454694,0.19935393968810475,512
halfcheetah-expert-v2,2,1.5,mpi1,mpi3,0.06609285587513962,0.32935086732620594,0.1950371685454694,0.20067612516616776,512
halfcheetah-expert-v2,2,1.5,mpi2,mpi3,0.05319973681132703,0.26510247179267366,0.19935393968810475,0.20067612516616776,512
halfcheetah-expert-v2,2,2.5,mpi1,mpi2,0.06049953441672296,0.29961485469981486,0.19932937029480768,0.20192434876881404,512
halfcheetah-expert-v2,2,2.5,mpi1,mpi3,0.06823702740690034,0.3348141036715967,0.19932937029480768,0.2038057138531739,512
halfcheetah-expert-v2,2,2.5,mpi2,mpi3,0.054912487508498774,0.26943546611288305,0.20192434876881404,0.2038057138531739,512
halfcheetah-expert-v2,2,4.0,mpi1,mpi2,0.07457121890171378,0.3600248403449629,0.20617216385852744,0.20712798269770027,512
halfcheetah-expert-v2,2,4.0,mpi1,mpi3,0.08563633097018183,0.4045615770301743,0.20617216385852744,0.21167687648151182,512
halfcheetah-expert-v2,2,4.0,mpi2,mpi3,0.06415279689465805,0.30306946115704453,0.20712798269770027,0.21167687648151182,512
halfcheetah-expert-v2,2,7.0,mpi1,mpi2,0.09428793227367573,0.42270866626437775,0.22305653940556908,0.21954033898814107,512
halfcheetah-expert-v2,2,7.0,mpi1,mpi3,0.10730501357267228,0.4810664321191077,0.22305653940556908,0.21939352517666488,512
halfcheetah-expert-v2,2,7.0,mpi2,mpi3,0.08320204719054866,0.37898295854887515,0.21954033898814107,0.21939352517666488,512
halfcheetah-expert-v2,2,10.0,mpi1,mpi2,0.11883792294954086,0.5058217169789644,0.23494033364028727,0.23225771263446773,512
