environment,seed,integrator,s,t,total,Phi_u_vs_Phi_t_Phi_s_aD_rms,relative_frozen_semigroup_from_aD,pi_u_vs_Phi_u_aD_rms,pi_u_vs_Phi_t_Phi_s_aD_rms,solver_converged_sample_fraction,all_numeric_outputs_finite
halfcheetah-expert-v2,2,implicit,7.0,7.0,14.0,0.007704622939697529,0.02835187760485139,0.25007717761663933,0.24948291958667662,0.013671875,True
halfcheetah-expert-v2,2,explicit,7.0,10.0,17.0,0.09133143653181008,0.1804944399922477,0.3806638992397227,0.36260675010267995,1.0,True
halfcheetah-expert-v2,2,implicit,7.0,10.0,17.0,1.1454992457381696e-05,3.658999559620454e-05,0.2750782054845964,0.27506674463891034,0.001953125,True
halfcheetah-expert-v2,2,explicit,10.0,10.0,20.0,0.1413708715693249,0.486168124157847,0.25643035459927993,0.21659069483892462,1.0,True
halfcheetah-expert-v2,2,implicit,10.0,10.0,20.0,0.027673445464182034,0.07301516605652848,0.26993182378179315,0.26893975356869587,0.013671875,True
halfcheetah-expert-v2,3,explicit,0.05,0.05,0.1,0.00019970509211980443,0.001048968694594431,0.18964415405185242,0.18964501541288967,1.0,True
halfcheetah-expert-v2,3,implicit,0.05,0.05,0.1,0.00014187797843224822,0.0007383136073747358,0.19142664029315348,0.19142585428208733,0.87109375,True
halfcheetah-expert-v2,3,explicit,0.1,0.1,0.2,0.00045277834199811064,0.002363448735300947,0.19003059260707222,0.19003737594639242,1.0,True
halfcheetah-expert-v2,3,implicit,0.1,0.1,0.2,0.00019405803346794507,0.0010082155954671222,0.19115120467523783,0.1911513018892727,0.787109375,True
halfcheetah-expert-v2,3,explicit,0.2,0.2,0.4,0.0015477671559070171,0.008133548725489236,0.1875077664562972,0.18752471841087662,1.0,True
halfcheetah-expert-v2,3,implicit,0.2,0.2,0.4,0.0005219916168898655,0.0026763827070087967,0.1925930217621373,0.1925735758973746,0.583984375,True
halfcheetah-expert-v2,3,explicit,1.5,2.5,4.0,0.03600208770545877,0.1772723900644447,0.18818527515735148,0.1861385077921534,1.0,True
halfcheetah-expert-v2,3,implicit,1.5,2.5,4.0,0.006864160140979525,0.034672884148829596,0.18758302994557932,0.18730866549723396,0.068359375,True
halfcheetah-expert-v2,3,explicit,4.0,10.0,14.0,0.17168326210358714,0.6251318260019209,0.2481313228317054,0.22048264439196896,1.0,True
halfcheetah-expert-v2,3,implicit,4.0,10.0,14.0,0.00618295294866305,0.034948824945296254,0.1278342048027424,0.130087854040639,0.005859375,True
halfcheetah-expert-v2,3,explicit,7.0,7.0,14.0,0.13487263160870466,0.49109723010949413,0.2481313228317054,0.2093639558107104,1.0,True
halfcheetah-expert-v2,3,implicit,7.0,7.0,14.0,0.005983930103913378,0.027890007031201765,0.1450553188350899,0.1426054182264166,0.013671875,True
halfcheetah-expert-v2,3,explicit,7.0,10.0,17.0,0.18629705735077465,0.6014029911048216,0.2841115781554333,0.2473842097117214,1.0,True
halfcheetah-expert-v2,3,implicit,7.0,10.0,17.0,0.00014608188205230029,0.0006354784325887189,0.17985993905560257,0.17988253371550403,0.0078125,True
halfcheetah-expert-v2,3,explicit,10.0,10.0,20.0,0.1294394077754762,0.3076548908543862,0.3107055632697571,0.27372246095949776,1.0,True
halfcheetah-expert-v2,3,implicit,10.0,10.0,20.0,0.014485287081869606,0.04772824666250907,0.17793137749261945,0.18026736378937072,0.0078125,True
hopper-medium-v2,2,explicit,0.05,0.05,0.1,0.0003555787217241584,0.0013544729099506752,0.26220991791752224,0.2622109183576015,1.0,True
