environment,seed,method,integrator,s,t,total,pi_u_vs_continue_pi_s_rms,pi_u_vs_continue_pi_t_rms,relative_pi_u_vs_continue_mean,order_defect_rms,relative_order_defect,actor_gap_pi_s_to_pi_u_rms,actor_gap_aD_to_pi_u_rms,pi_s_vs_Phi_s_aD_rms,pi_u_vs_Phi_u_aD_rms,relative_pi_u_vs_Phi_u_aD,pi_u_vs_Phi_t_Phi_s_aD_rms,relative_pi_u_vs_Phi_t_Phi_s_aD,Phi_u_vs_Phi_t_Phi_s_aD_rms,relative_frozen_semigroup_from_aD,solver_converged_sample_fraction,all_solver_calls_converged,max_solver_iterations,max_fixed_point_residual,max_projection_fraction,all_numeric_outputs_finite,n_states
halfcheetah-expert-v2,3,mpi3,implicit,0.05,0.05,0.1,0.034047923739816646,0.034047923739816646,0.17385184460500122,0.0,0.0,0.0340027164499323,0.19584447790689236,0.19608745426356197,0.19519341210458155,0.9959700435282105,0.1951925520709564,0.9959656552257682,9.85474261957183e-05,0.0005028360501488406,0.841796875,False,200,0.0020807981491088867,0.001953125,True,512
halfcheetah-expert-v2,3,mpi3,explicit,0.1,0.1,0.2,0.036155640748934695,0.036155640748934695,0.18484777840308916,0.0,0.0,0.03625419610402043,0.19559683682046602,0.1941212425065012,0.19367995594677997,0.990199837048257,0.1937107170518061,0.9903571049546616,0.0012319867327006098,0.0062986025373785726,1.0,True,1,0.0,0.005859375,True,512
halfcheetah-expert-v2,3,mpi3,implicit,0.1,0.1,0.2,0.0365887649443579,0.0365887649443579,0.18745391274776577,0.0,0.0,0.03671853994568614,0.19518805666964664,0.19506969227498322,0.19416085566552158,0.9921140256472712,0.19416027064811775,0.9921110363528041,0.0002318277747832807,0.0011845826807299765,0.71875,False,200,0.015443146228790283,0.005859375,True,512
halfcheetah-expert-v2,3,mpi3,explicit,0.2,0.2,0.4,0.037370111831685426,0.037370111831685426,0.19190724021408206,0.0,0.0,0.03697261857870151,0.19473007787510888,0.19367995594677997,0.19164875703804318,0.9841764514722686,0.1917064770361887,0.9844728617586269,0.0014490430398662992,0.007441290301314676,1.0,True,1,0.0,0.015625,True,512
halfcheetah-expert-v2,3,mpi3,implicit,0.2,0.2,0.4,0.03827817290617662,0.03827817290617662,0.19502089005420695,0.0,0.0,0.03787615405842611,0.19627729570681904,0.19795119336325168,0.19641627693243452,0.9859437306050789,0.19641429715989137,0.9859337928119518,0.0004629208871318417,0.002323707350337279,0.552734375,False,200,0.03269794583320618,0.015625,True,512
halfcheetah-expert-v2,3,mpi3,explicit,1.5,2.5,4.0,0.07474827979238974,0.060591003327409784,0.3232592024451851,0.0731592951584049,0.3494833851517284,0.06374961675814979,0.20933554574173177,0.19080499780975088,0.19061363261867942,0.9105650545075104,0.18859729057449204,0.9009329490901388,0.03216829655608075,0.15366858238098016,1.0,True,1,0.0,0.482421875,True,512
halfcheetah-expert-v2,3,mpi3,implicit,1.5,2.5,4.0,0.06052804394516281,0.04968563314982742,0.25961740631758795,0.058427367201427605,0.2752609645303167,0.05885213510444716,0.21226172516369474,0.23696243311949042,0.22051775252645744,0.9034593492572947,0.22015796887225575,0.901985318697966,0.0059525494775831455,0.024387544385089294,0.041015625,False,200,0.27810075879096985,0.44921875,True,512
halfcheetah-expert-v2,3,mpi3,explicit,4.0,10.0,14.0,0.17893748978284155,0.12375610643021558,0.6286276209365307,0.18127791541844437,0.7529482362594802,0.10736734459890923,0.24075747400512215,0.19061363261867942,0.23193984800084078,0.9363316242791563,0.2121373043281242,0.8563895701571478,0.1493647717427133,0.602979438597516,1.0,True,1,0.0,0.8828125,True,512
halfcheetah-expert-v2,3,mpi3,implicit,4.0,10.0,14.0,0.12528020381916424,0.10622102021010953,0.4921330156226067,0.11524242679019582,0.4899723814570836,0.09070645504346869,0.23520188310918058,0.45664716075120476,0.4820501742658232,1.1437017042025093,0.4819872061287893,1.1435523073772809,0.00015151473150558394,0.00035948053934145807,0.00390625,False,200,0.9143264293670654,0.84375,True,512
halfcheetah-expert-v2,3,mpi3,explicit,7.0,7.0,14.0,0.14235639271938474,0.14235639271938474,0.5912854556546647,0.0,0.0,0.10327258271087274,0.24075747400512215,0.19359651537622785,0.23193984800084078,0.9363316242791563,0.2013841202773492,0.8129794085345603,0.13562731282828824,0.5475218821246621,1.0,True,1,0.0,0.875,True,512
halfcheetah-expert-v2,3,mpi3,implicit,7.0,7.0,14.0,0.10799455225206381,0.10799455225206381,0.43801762538037947,0.0,0.0,0.08779582027759837,0.24655298324646208,0.47470983553055396,0.4800325893155773,1.1450444630862449,0.47998427916506575,1.1449292265969204,0.00010370495365664588,0.00024737233600840566,0.00390625,False,200,0.45013535022735596,0.876953125,True,512
