method,hop,tau,environment,stability,n_seed_cells,r_before_mean,slack_before_mean,r_after_mean,slack_after_mean
p4,3,10.0,halfcheetah-medium-v2,stable,2,0.001026142150465592,0.001026142150465592,0.0008771674127290296,0.0008771674127290296
p4,3,10.0,hopper-expert-v2,collapsed,1,0.003103440006067437,0.003103440006067437,0.002804879548823358,0.002804879548823358
p4,3,10.0,hopper-expert-v2,stable,1,0.002635265481595539,0.002635265481595539,0.0024537534044339893,0.0024537534044339893
p4,3,10.0,hopper-medium-replay-v2,stable,2,-0.0024018385679598353,0.0,-0.0024749043307914498,0.0
p4,3,10.0,hopper-medium-v2,stable,2,0.001532146228389042,0.001532146228389042,0.0012973650566299177,0.0012973650566299177
p4,3,10.0,walker2d-expert-v2,stable,2,0.0011683576990009215,0.0011683576990009215,0.00099903414706759,0.00099903414706759
p4,3,10.0,walker2d-medium-replay-v2,stable,2,0.004447175140054327,0.004447175140054327,0.0042314026241294656,0.0042314026241294656
p4,3,10.0,walker2d-medium-v2,collapsed,1,-0.01755666462979022,0.0,-0.017547606342170674,0.0
p4,3,10.0,walker2d-medium-v2,stable,1,0.0014666775485112638,0.0014666775485112638,0.001201646645061949,0.001201646645061949
p4,3,14.0,halfcheetah-expert-v2,collapsed,1,0.0006994705059346629,0.0006994705059346629,0.0005834830788709056,0.0005834830788709056
p4,3,14.0,halfcheetah-expert-v2,stable,1,0.0008985187600529798,0.0008985187600529798,0.000756646206511391,0.000756646206511391
p4,3,14.0,halfcheetah-medium-replay-v2,stable,2,0.005310990228939438,0.005310990228939438,0.005149567242053621,0.005149567242053621
p4,3,14.0,halfcheetah-medium-v2,stable,2,0.001196316680887044,0.001196316680887044,0.0009614239596245078,0.0009614239596245078
p4,3,14.0,hopper-expert-v2,collapsed,2,-0.025778336299862037,0.0,-0.025902359363105365,0.0
p4,3,14.0,hopper-medium-replay-v2,stable,2,-0.005218291337927727,0.0,-0.005374774515470637,0.0
p4,3,14.0,hopper-medium-v2,stable,2,0.0006872846552021805,0.0006872846552021805,0.0005018004673642551,0.0005018004673642551
p4,3,14.0,walker2d-expert-v2,collapsed,2,0.003818092808165474,0.009257148996908882,0.003756145266983424,0.009204143284906596
p4,3,14.0,walker2d-medium-replay-v2,collapsed,1,0.005068601417817398,0.005068601417817398,0.00490090459801884,0.00490090459801884
p4,3,14.0,walker2d-medium-replay-v2,stable,1,0.006400626462764514,0.006400626462764514,0.006194715121448091,0.006194715121448091
p4,3,14.0,walker2d-medium-v2,collapsed,1,-0.0039433886174045085,0.0,-0.003955386894861412,0.0
p4,3,14.0,walker2d-medium-v2,stable,1,0.0009175667801279985,0.0009175667801279985,0.0007701674908275891,0.0007701674908275891
p4,3,20.0,halfcheetah-expert-v2,collapsed,2,-0.0005000148548530703,6.0761374319540096e-05,-0.0006511194384835051,0.0
p4,3,20.0,halfcheetah-medium-replay-v2,stable,2,0.0057007114681315585,0.0057007114681315585,0.005553854763835631,0.005553854763835631
p4,3,20.0,halfcheetah-medium-v2,stable,2,0.0006500259060171487,0.0006500259060171487,0.0004838832733886633,0.0004838832733886633
p4,3,20.0,hopper-expert-v2,collapsed,2,-0.020846763408721714,0.0,-0.021030914846390303,0.0
p4,3,20.0,hopper-medium-replay-v2,stable,2,-0.007969782609279719,0.0,-0.00809231212256023,0.0
p4,3,20.0,hopper-medium-v2,stable,2,-0.0002581320710248747,0.00018246963009183048,-0.0005593854815479915,0.0
p4,3,20.0,walker2d-expert-v2,collapsed,2,-0.011933586701593946,0.0,-0.012081511290612745,0.0
p4,3,20.0,walker2d-medium-replay-v2,collapsed,1,0.006665570043169922,0.006665570043169922,0.006255119996696479,0.006255119996696479
p4,3,20.0,walker2d-medium-replay-v2,stable,1,0.006047898329233803,0.006047898329233803,0.005790266550931733,0.005790266550931733
p4,3,20.0,walker2d-medium-v2,collapsed,2,-0.0038703755326139344,0.0,-0.003882593421727698,0.0
p4,4,4.0,halfcheetah-expert-v2,stable,2,0.001622195726655118,0.001622195726655118,0.0014651054934275987,0.0014651054934275987
p4,4,4.0,halfcheetah-medium-replay-v2,stable,2,0.00601978567717798,0.00601978567717798,0.005808119771623321,0.005808119771623321
p4,4,4.0,halfcheetah-medium-v2,stable,2,0.0024815575000864953,0.0024815575000864953,0.002316248553949518,0.002316248553949518
p4,4,4.0,hopper-expert-v2,stable,2,0.0036373290145846893,0.0036373290145846893,0.0032977365744464304,0.0032977365744464304
p4,4,4.0,hopper-medium-replay-v2,stable,2,0.0027672341718828486,0.0027672341718828486,0.002471580829844555,0.002471580829844555
p4,4,4.0,hopper-medium-v2,stable,2,0.002303237832736782,0.002303237832736782,0.002077641492523652,0.002077641492523652
p4,4,4.0,walker2d-expert-v2,stable,2,0.0016285284904082875,0.0016285284904082875,0.001529154850849479,0.001529154850849479
p4,4,4.0,walker2d-medium-replay-v2,stable,2,0.006948790032715646,0.006948790032715646,0.006754553001417696,0.006754553001417696
p4,4,4.0,walker2d-medium-v2,stable,2,0.00233001800084498,0.00233001800084498,0.0022238387207834664,0.0022238387207834664
p4,4,7.0,halfcheetah-expert-v2,stable,2,0.0015158523109177757,0.0015158523109177757,0.001364164938345347,0.001364164938345347
p4,4,7.0,halfcheetah-medium-replay-v2,stable,2,0.006448110682303332,0.006448110682303332,0.0062363052158396215,0.0062363052158396215
p4,4,7.0,halfcheetah-medium-v2,stable,2,0.0025090333431920797,0.0025090333431920797,0.002329405682350183,0.002329405682350183
p4,4,7.0,hopper-expert-v2,stable,2,0.0033433827280819894,0.0033433827280819894,0.0030536421395468416,0.0030536421395468416
p4,4,7.0,hopper-medium-replay-v2,stable,2,0.0010927977877568384,0.0010927977877568384,0.0008360606985045038,0.0008360606985045038
p4,4,7.0,hopper-medium-v2,stable,2,0.00216430158516423,0.00216430158516423,0.001909765304196398,0.001909765304196398
p4,4,7.0,walker2d-expert-v2,stable,2,0.0011818439721376084,0.0011818439721376084,0.0010893233015636383,0.0010893233015636383
p4,4,7.0,walker2d-medium-replay-v2,stable,2,0.00894094389813671,0.00894094389813671,0.008808098271307241,0.008808098271307241
p4,4,7.0,walker2d-medium-v2,stable,2,0.002280033121739633,0.002280033121739633,0.0021879016604506862,0.0021879016604506862
p4,4,10.0,halfcheetah-expert-v2,collapsed,1,0.0017635520177163855,0.0017635520177163855,0.001559215199381292,0.001559215199381292
