environment,T,seed,hop_index,ref_actor,new_actor,delta_L,q_term,transport_mean_sq,mean_q_gain,return_delta,j_ref,j_new,label,optimizer_diverged,c_k
walker2d-expert-v2,7,1,4,mart_mu3,mart_mu4,0.0010731750651888083,-0.0006237044002281221,0.0016968794654169306,0.08871151506900787,1.1867037092045223,112.46953042785512,113.65623413705964,other_obj_not_up_return_up,False,0.007030703959265583
walker2d-medium-replay-v2,10,0,2,mart_mu1,mart_mu2,0.004767836975742401,-0.03154098273746691,0.03630881971320931,1.4617555316362996,38.24655389998358,52.78375135132312,91.0303052513067,other_obj_not_up_return_up,False,0.02157746767830576
walker2d-medium-replay-v2,10,0,3,mart_mu2,mart_mu3,0.004837618360814158,-0.02223085036165723,0.027068468722471387,1.036412180546904,-0.7176999719176962,91.0303052513067,90.312605279389,other_obj_not_up_return_flat,False,0.021449815796188577
walker2d-medium-replay-v2,10,0,4,mart_mu3,mart_mu4,0.012495001699337954,-0.012849185262850574,0.025344186962188528,0.6015469155645405,0.7155634756035596,90.312605279389,91.02816875499256,other_obj_not_up_return_flat,False,0.02136023796380346
walker2d-medium-replay-v2,10,1,2,mart_mu1,mart_mu2,0.0030952790229369087,-0.03616179326646634,0.03925707228940325,1.707024035655195,0.06925051149183048,88.05555748108485,88.12480799257668,other_obj_not_up_return_flat,False,0.021184114875445567
walker2d-medium-replay-v2,10,1,3,mart_mu2,mart_mu3,0.004011430210621489,-0.025019612050168352,0.02903104226078984,1.18939012294868,-0.24059233783118827,88.12480799257668,87.88421565474549,other_obj_not_up_return_flat,False,0.02103566489028924
walker2d-medium-replay-v2,10,1,4,mart_mu3,mart_mu4,0.011149455363615095,-0.013946082456318648,0.025095537819933744,0.6661293879151344,1.234350795901392,87.88421565474549,89.11856645064688,other_obj_not_up_return_up,False,0.020935996383476468
walker2d-medium-replay-v2,14,0,2,mart_mu1,mart_mu2,-0.0025255440909334667,-0.04810103508039531,0.04557549098946184,1.7057759593008086,3.825524262497254,86.53094356939248,90.35646783188973,objective_up_return_up,False,0.02819891722481055
walker2d-medium-replay-v2,14,0,3,mart_mu2,mart_mu3,0.006296943305505023,-0.027726660405131685,0.03402360371063671,0.989859646288096,1.278650075618387,90.35646783188973,91.63511790750812,other_obj_not_up_return_up,False,0.028010698798667782
walker2d-medium-replay-v2,14,0,4,mart_mu3,mart_mu4,0.015236573721149855,-0.016753232219483227,0.03198980594063308,0.6004317666811403,-6.064645667866273,91.63511790750812,85.57047223964184,objective_not_up_return_down,False,0.027901975127142202
walker2d-medium-replay-v2,14,1,2,mart_mu1,mart_mu2,-0.002677025160974865,-0.04931740472245388,0.04664037956147901,1.7381957808102015,13.835626349024778,80.71851487608517,94.55414122510994,objective_up_return_up,False,0.028372755973131075
walker2d-medium-replay-v2,14,1,3,mart_mu2,mart_mu3,0.006409031017562582,-0.02828984402634611,0.03469887504390869,1.0039064534503268,2.151075091394688,94.55414122510994,96.70521631650463,other_obj_not_up_return_up,False,0.02817976110136231
walker2d-medium-replay-v2,14,1,4,mart_mu3,mart_mu4,0.017521286189333532,-0.01570976107923098,0.03323104726856451,0.5597086967463838,-2.1133262183177663,96.70521631650463,94.59189009818687,objective_not_up_return_down,False,0.028067745187010044
walker2d-medium-replay-v2,20,0,2,mart_mu1,mart_mu2,-0.0073382268656618024,-0.0616238843692554,0.0542856575035936,1.5929119718202855,-3.035247717861729,64.532574058438,61.49732634057627,objective_up_return_down,False,0.0386863087599469
walker2d-medium-replay-v2,20,0,3,mart_mu2,mart_mu3,0.0079552549501011,-0.03062874870075778,0.03858400365085888,0.7965967578347772,22.512476813101834,61.49732634057627,84.0098031536781,other_obj_not_up_return_up,False,0.03844950208435384
walker2d-medium-replay-v2,20,0,4,mart_mu3,mart_mu4,0.016744424507337936,-0.018401701888051653,0.03514612639538959,0.48006203726981767,-36.171950832791765,84.0098031536781,47.83785232088634,objective_not_up_return_down,False,0.03833192475019436
walker2d-medium-replay-v2,20,1,2,mart_mu1,mart_mu2,-0.0052262166477269195,-0.05984864283596662,0.0546224261882397,1.53268049901817,-1.9151437513734209,90.6869268388626,88.77178308748918,objective_up_return_down,False,0.03904834887264858
walker2d-medium-replay-v2,20,1,3,mart_mu2,mart_mu3,0.008947944261739338,-0.030776845693848663,0.039724789955588,0.7928145724872593,1.0693979021841926,88.77178308748918,89.84118098967338,other_obj_not_up_return_up,False,0.038819727540191314
walker2d-medium-replay-v2,20,1,4,mart_mu3,mart_mu4,0.021131679976162936,-0.01652280569593388,0.03765448567209682,0.4269201963325031,0.25232127043935293,89.84118098967338,90.09350226011273,other_obj_not_up_return_flat,False,0.038702328533235374
walker2d-medium-replay-v2,4,0,2,mart_mu1,mart_mu2,0.011626314250966852,-0.013725979717639608,0.02535229396860646,1.3443401917538722,8.480255164687634,75.54891401009384,84.02916917478147,other_obj_not_up_return_up,False,0.01021019813424772
walker2d-medium-replay-v2,4,0,3,mart_mu2,mart_mu3,0.00575955838094102,-0.011882923626988957,0.017642482007929977,1.1703987193322973,4.82011051794062,84.02916917478147,88.84927969272209,other_obj_not_up_return_up,False,0.01015288502175401
walker2d-medium-replay-v2,4,0,4,mart_mu3,mart_mu4,0.006477562254218113,-0.008574663291773454,0.015052225545991567,0.8483599405644782,-0.5157672287899118,88.84927969272209,88.33351246393218,other_obj_not_up_return_flat,False,0.01010734109636068
