source,environment,T,seed,actor_id,n_episodes,normalized_score_mean,raw_return_mean,episode_length_mean,n_timeout,timeout_rate,reward_per_step_pooled,reward_per_step_episode_mean
first90_ext_csv_0c8c50cd,halfcheetah-medium-v2,20,0,two_actor_target,10,53.69835190017043,6386.567530217835,1000.0,10,1.0,6.386567530217835,6.386567530217835
first90_ext_csv_0c8c50cd,halfcheetah-medium-v2,20,1,mart_mu1,10,54.331437214700976,6465.166204941966,1000.0,10,1.0,6.465166204941966,6.465166204941966
first90_ext_csv_0c8c50cd,halfcheetah-medium-v2,20,1,mart_mu2,10,58.20077564604875,6945.551495490994,1000.0,10,1.0,6.945551495490994,6.945551495490994
first90_ext_csv_0c8c50cd,halfcheetah-medium-v2,20,1,mart_mu3,10,58.681736979530605,7005.263705737501,1000.0,10,1.0,7.005263705737502,7.0052637057375025
first90_ext_csv_0c8c50cd,halfcheetah-medium-v2,20,1,mart_mu4,10,59.71251403500105,7133.236521780624,1000.0,10,1.0,7.133236521780623,7.133236521780622
first90_ext_csv_0c8c50cd,halfcheetah-medium-v2,20,1,two_actor_deploy,10,59.60035690587698,7119.3120134913215,1000.0,10,1.0,7.119312013491322,7.119312013491323
first90_ext_csv_0c8c50cd,halfcheetah-medium-v2,20,1,two_actor_target,10,52.801546960834266,6275.227592139906,1000.0,10,1.0,6.275227592139906,6.275227592139905
first90_ext_csv_0c8c50cd,hopper-expert-v2,4,0,mart_mu1,10,107.10420094823219,3465.511356552712,968.0,9,0.9,3.580073715447017,3.5863431361722085
first90_ext_csv_0c8c50cd,hopper-expert-v2,4,0,mart_mu2,10,109.57006498828682,3545.764684679285,1000.0,10,1.0,3.545764684679285,3.545764684679284
first90_ext_csv_0c8c50cd,hopper-expert-v2,4,0,mart_mu3,10,106.05017807062696,3431.207419889809,950.8,8,0.8,3.6087583297116206,3.618707476533139
first90_ext_csv_0c8c50cd,hopper-expert-v2,4,0,mart_mu4,10,87.0265742208804,2812.070477583043,766.6,5,0.5,3.668236991368436,3.692944709490469
first90_ext_csv_0c8c50cd,hopper-expert-v2,4,0,two_actor_deploy,10,106.65492420594985,3450.889320125585,967.4,9,0.9,3.56717936750629,3.574583887623652
first90_ext_csv_0c8c50cd,hopper-expert-v2,4,0,two_actor_target,10,98.72780447683695,3192.8954768376852,885.1,6,0.6,3.6073838852532885,3.623629469825366
first90_ext_csv_0c8c50cd,hopper-expert-v2,4,1,mart_mu1,10,92.92854182575512,3004.154280701368,824.0,5,0.5,3.6458183018220485,3.667921929091734
first90_ext_csv_0c8c50cd,hopper-expert-v2,4,1,mart_mu2,10,102.89614893538476,3328.5572611625844,916.7,7,0.7,3.6310213386741403,3.6416199898082757
first90_ext_csv_0c8c50cd,hopper-expert-v2,4,1,mart_mu3,10,97.7171930117054,3160.00439598236,861.7,6,0.6,3.667174650089776,3.6855412684755793
first90_ext_csv_0c8c50cd,hopper-expert-v2,4,1,mart_mu4,10,107.18750522543448,3468.222554487419,961.9,9,0.9,3.6055957526639144,3.6109977696591677
first90_ext_csv_0c8c50cd,hopper-expert-v2,4,1,two_actor_deploy,10,105.25087881996808,3405.193647843793,927.3,6,0.6,3.672159654743657,3.6778763763480598
first90_ext_csv_0c8c50cd,hopper-expert-v2,4,1,two_actor_target,10,100.27845249495051,3243.362437783241,894.6,7,0.7,3.6254889758363973,3.636763838015283
first90_ext_csv_0c8c50cd,hopper-expert-v2,7,0,mart_mu1,10,104.20425599780069,3371.1305513357233,938.9,7,0.7,3.5905107586917917,3.59868742697873
first90_ext_csv_0c8c50cd,hopper-expert-v2,7,0,mart_mu2,10,110.43266602182777,3573.838659019553,1000.0,10,1.0,3.573838659019553,3.5738386590195526
first90_ext_csv_0c8c50cd,hopper-expert-v2,7,0,mart_mu3,10,105.10027144926565,3400.292022067622,930.6,7,0.7,3.6538706448179905,3.6647088903980802
first90_ext_csv_0c8c50cd,hopper-expert-v2,7,0,mart_mu4,10,91.16977916064454,2946.914078091999,795.7,4,0.4,3.7035491744275464,3.71722485185366
first90_ext_csv_0c8c50cd,hopper-expert-v2,7,0,two_actor_deploy,10,98.29921353120724,3178.9466746194835,858.2,4,0.4,3.7042026038446556,3.709179607122781
first90_ext_csv_0c8c50cd,hopper-expert-v2,7,0,two_actor_target,10,110.70736250536467,3582.7788546955535,994.5,9,0.9,3.6025931168381633,3.603291178297775
first90_ext_csv_0c8c50cd,hopper-expert-v2,7,1,mart_mu1,10,102.80211221564836,3325.4967681255134,927.0,8,0.8,3.5873751543964545,3.597538046531902
first90_ext_csv_0c8c50cd,hopper-expert-v2,7,1,mart_mu2,10,93.42932689210868,3020.4526927784864,820.6,4,0.4,3.680785635849971,3.6922143070416467
first90_ext_csv_0c8c50cd,hopper-expert-v2,7,1,mart_mu3,10,92.79343360592011,2999.757085996839,807.1,4,0.4,3.7167105513527927,3.7236849459907484
first90_ext_csv_0c8c50cd,hopper-expert-v2,7,1,mart_mu4,10,96.7492618741995,3128.502377249621,857.4,5,0.5,3.6488247926867516,3.64626860323684
first90_ext_csv_0c8c50cd,hopper-expert-v2,7,1,two_actor_deploy,10,98.6801513873032,3191.344572583243,867.6,6,0.6,3.6783593506030923,3.6796523811487263
first90_ext_csv_0c8c50cd,hopper-expert-v2,7,1,two_actor_target,10,97.54809248207393,3154.5008969773653,868.6,6,0.6,3.6317072265454353,3.649688348135738
first90_ext_csv_0c8c50cd,hopper-expert-v2,10,0,mart_mu1,10,107.70723070261383,3485.137395929727,962.4,7,0.7,3.6212982085720355,3.6260647927113867
first90_ext_csv_0c8c50cd,hopper-expert-v2,10,0,mart_mu2,10,103.44688948581711,3346.4815105893604,910.3,7,0.7,3.676240262099704,3.6836107188770093
first90_ext_csv_0c8c50cd,hopper-expert-v2,10,0,mart_mu3,10,90.45582048721919,2923.6777768375514,782.1,4,0.4,3.7382403488525147,3.7452753428434384
first90_ext_csv_0c8c50cd,hopper-expert-v2,10,0,mart_mu4,10,72.1537557984125,2328.0238482324658,619.4,0,0.0,3.758514446613603,3.7534841157679195
first90_ext_csv_0c8c50cd,hopper-expert-v2,10,0,two_actor_deploy,10,106.22414187607494,3436.869197722642,937.4,8,0.8,3.6663848919592943,3.6616793497301954
first90_ext_csv_0c8c50cd,hopper-expert-v2,10,0,two_actor_target,10,104.47839967501291,3380.05275553018,930.5,7,0.7,3.6325123648900375,3.6431790053589195
first90_ext_csv_0c8c50cd,hopper-expert-v2,10,1,mart_mu1,10,91.6371545239256,2962.1251472257377,803.7,4,0.4,3.6856104855365652,3.697083674535288
first90_ext_csv_0c8c50cd,hopper-expert-v2,10,1,mart_mu2,10,95.36061512199014,3083.3078646379336,839.4,5,0.5,3.6732283352846484,3.680090543504769
first90_ext_csv_0c8c50cd,hopper-expert-v2,10,1,mart_mu3,10,46.09400467757429,1479.8904055017376,415.1,1,0.1,3.565141906773639,3.5296713165316014
first90_ext_csv_0c8c50cd,hopper-expert-v2,10,1,mart_mu4,10,30.883688734190024,984.8596753053537,293.6,0,0.0,3.354426687007335,3.125338009629267
first90_ext_csv_0c8c50cd,hopper-expert-v2,10,1,two_actor_deploy,10,94.11679281549155,3042.826768327218,819.8,3,0.3,3.7116696368958504,3.7100470948731243
first90_ext_csv_0c8c50cd,hopper-expert-v2,10,1,two_actor_target,10,104.73385067877783,3388.366593151558,935.1,7,0.7,3.623533946264098,3.629386555659501
first90_ext_csv_0c8c50cd,hopper-expert-v2,14,0,mart_mu1,10,90.68467577951,2931.126037798975,790.8,4,0.4,3.706532672988082,3.7250242763547683
first90_ext_csv_0c8c50cd,hopper-expert-v2,14,0,mart_mu2,10,111.32739734930767,3602.9583370078717,1000.0,10,1.0,3.602958337007872,3.602958337007872
first90_ext_csv_0c8c50cd,hopper-expert-v2,14,0,mart_mu3,10,58.7980295293104,1893.352079946658,501.0,0,0.0,3.779145868157002,3.7786315184232024
first90_ext_csv_0c8c50cd,hopper-expert-v2,14,0,mart_mu4,10,44.070301198704655,1414.0275125431249,388.8,0,0.0,3.636902038433963,3.6369180521185642
first90_ext_csv_0c8c50cd,hopper-expert-v2,14,0,two_actor_deploy,10,1.8207685012664,38.98592238037984,22.1,0,0.0,1.764068885990038,1.7640917519028487
first90_ext_csv_0c8c50cd,hopper-expert-v2,14,0,two_actor_target,10,11.86403122820929,365.8511696098509,153.8,0,0.0,2.3787462263319306,2.351199994835944
first90_ext_csv_0c8c50cd,hopper-expert-v2,14,1,mart_mu1,10,14.277764324344256,444.4078584732785,154.1,0,0.0,2.883892657191944,2.883760000473923
first90_ext_csv_0c8c50cd,hopper-expert-v2,14,1,mart_mu2,10,6.506743224960023,191.49435795701277,84.9,0,0.0,2.255528362273413,2.2555205428091174
first90_ext_csv_0c8c50cd,hopper-expert-v2,14,1,mart_mu3,10,4.281297237005556,119.06560917031307,59.6,0,0.0,1.9977451203072663,1.8781890680745819
first90_ext_csv_0c8c50cd,hopper-expert-v2,14,1,mart_mu4,10,1.765446297449979,37.18542125645494,21.3,0,0.0,1.7457944251856776,1.7458369611008702
first90_ext_csv_0c8c50cd,hopper-expert-v2,14,1,two_actor_deploy,10,59.403703879670694,1913.064189611973,515.8,0,0.0,3.7089263078944805,3.6878414195867726
first90_ext_csv_0c8c50cd,hopper-expert-v2,14,1,two_actor_target,10,102.85449115991989,3327.2014787394264,915.0,5,0.5,3.636285769114127,3.6445177220865532
first90_ext_csv_0c8c50cd,hopper-expert-v2,20,0,mart_mu1,10,23.463973080307415,743.3796645243406,232.6,0,0.0,3.1959572851433387,3.195583919176368
first90_ext_csv_0c8c50cd,hopper-expert-v2,20,0,mart_mu2,10,1.5909662714507038,31.506842652525727,24.9,0,0.0,1.2653350462861739,1.265334870192114
first90_ext_csv_0c8c50cd,hopper-expert-v2,20,0,mart_mu3,10,0.8390254206488279,7.034383972346506,9.0,0,0.0,0.7815982191496117,0.7815982191496118
first90_ext_csv_0c8c50cd,hopper-expert-v2,20,0,mart_mu4,10,0.7837575935114363,5.235652576757685,8.0,0,0.0,0.6544565720947106,0.6544565720947106
first90_ext_csv_0c8c50cd,hopper-expert-v2,20,0,two_actor_deploy,10,1.8093330671800953,38.613747909650414,21.9,0,0.0,1.7631848360570965,1.7631841380383784
first90_ext_csv_0c8c50cd,hopper-expert-v2,20,0,two_actor_target,10,1.8093330671800953,38.613747909650414,21.9,0,0.0,1.7631848360570965,1.7631841380383784
first90_ext_csv_0c8c50cd,hopper-expert-v2,20,1,mart_mu1,10,12.166543692931533,375.69665650587393,135.2,0,0.0,2.7788214238600144,2.778827533945665
first90_ext_csv_0c8c50cd,hopper-expert-v2,20,1,mart_mu2,10,7.736036092635189,231.50258317570905,99.8,0,0.0,2.319665162081253,2.3196603779340124
first90_ext_csv_0c8c50cd,hopper-expert-v2,20,1,mart_mu3,10,2.318831040212662,55.1957278345047,36.2,0,0.0,1.5247438628316217,1.5247287628964925
first90_ext_csv_0c8c50cd,hopper-expert-v2,20,1,mart_mu4,10,7.76567044362195,232.46705455569062,101.9,0,0.0,2.2813253636476016,2.2813250864386934
first90_ext_csv_0c8c50cd,hopper-expert-v2,20,1,two_actor_deploy,10,1.8093330671800953,38.613747909650414,21.9,0,0.0,1.7631848360570965,1.7631841380383784
first90_ext_csv_0c8c50cd,hopper-expert-v2,20,1,two_actor_target,10,1.8093330749201786,38.613748161557034,21.9,0,0.0,1.7631848475596819,1.7631841494885283
first90_ext_csv_0c8c50cd,hopper-medium-replay-v2,4,0,mart_mu1,10,53.25687324918415,1713.0111422769012,534.4,0,0.0,3.205484921925339,3.2008249692410047
first90_ext_csv_0c8c50cd,hopper-medium-replay-v2,4,0,mart_mu2,10,99.12061185565426,3205.679677000671,1000.0,10,1.0,3.205679677000671,3.2056796770006706
first90_ext_csv_0c8c50cd,hopper-medium-replay-v2,4,0,mart_mu3,10,99.62010580177092,3221.9360686361347,1000.0,10,1.0,3.2219360686361345,3.221936068636134
first90_ext_csv_0c8c50cd,hopper-medium-replay-v2,4,0,mart_mu4,10,99.02465934737398,3202.5568332402277,1000.0,10,1.0,3.2025568332402274,3.2025568332402274
first90_ext_csv_0c8c50cd,hopper-medium-replay-v2,4,0,two_actor_deploy,10,96.82221363617008,3130.876645090725,1000.0,10,1.0,3.130876645090725,3.1308766450907255
first90_ext_csv_0c8c50cd,hopper-medium-replay-v2,4,0,two_actor_target,10,36.44359664247009,1165.8108982717417,358.0,0,0.0,3.2564550231054237,3.2558354373435527
first90_ext_csv_0c8c50cd,hopper-medium-replay-v2,4,1,mart_mu1,10,23.07259899028517,730.6421117815307,215.3,0,0.0,3.3936001476150985,3.4032083614661124
first90_ext_csv_0c8c50cd,hopper-medium-replay-v2,4,1,mart_mu2,10,99.25226017624321,3209.964266782556,1000.0,10,1.0,3.209964266782556,3.2099642667825563
